Iteration,labels,realization
0,[1.        2.5603793],0
1,[1.        2.7018855],0
2,[1.        0.9958721],0
3,[1.        3.4514375],0
4,[1.       3.238279],0
5,[1.        3.0109658],0
6,[1.        3.1359093],0
7,[1.        2.9923959],0
8,[1.       3.479656],0
9,[1.        3.1876678],0
10,[1.       3.137384],0
11,[1.       2.769862],0
12,[1.        3.0091624],0
13,[1.        2.7657163],0
14,[1.        2.8783767],0
15,[1.       1.000645],0
16,[1.        2.9020057],0
17,[1.        0.9998117],0
18,[1.         0.99930304],0
19,[1.         0.82036346],0
20,[1.         0.22700576],0
21,[1.        2.8564668],0
22,[1.        2.3745282],0
23,[ 1.         -0.43130293],0
24,[1.        1.0013709],0
25,[1.        3.0565908],0
26,[1.        0.9997841],0
27,[1.        2.9326613],0
28,[1.        3.1197553],0
29,[1.       2.604468],0
30,[1.        2.7431343],0
31,[1.        1.0005853],0
32,[1.        2.9482105],0
33,[1.        1.0000362],0
34,[1.        3.2440448],0
35,[1.       1.000605],0
36,[1.       0.999625],0
37,[1.         0.99779224],0
38,[1.        2.7454844],0
39,[1.        3.0341067],0
40,[1.        2.7794034],0
41,[1.        3.0853066],0
42,[1.    2.873],0
43,[1.        2.6026433],0
44,[1.        0.9988924],0
45,[1.       0.998899],0
46,[1.        0.9997551],0
47,[1.        3.3703475],0
48,[1.        0.7660911],0
49,[1.         0.99689996],0
50,[1.        0.9990519],0
51,[1.        1.3273214],0
52,[ 1.         -0.16665833],0
53,[1.        1.3715216],0
54,[1.        4.2024407],0
55,[1.        1.4360453],0
56,[1.        0.9264177],0
57,[1.        2.8002305],0
58,[1.         0.48045775],0
59,[1.       3.606903],0
60,[1.        3.5624914],0
61,[1.        3.2945452],0
62,[1.        2.6880057],0
63,[1.       3.219254],0
64,[1.        2.6502495],0
65,[1.        2.6522877],0
66,[1.        2.8514676],0
67,[1.        2.8202515],0
68,[1.       2.971722],0
69,[1.       2.899515],0
70,[1.       0.999565],0
71,[1.         0.99932367],0
72,[1.        1.0011725],0
73,[1.        1.0002606],0
74,[1.        2.6050456],0
75,[1.        3.2529342],0
76,[1.        2.5937765],0
77,[1.        3.1227183],0
78,[1.       1.001363],0
79,[1.        2.9359176],0
80,[1.        2.8608057],0
81,[1.        3.7888474],0
82,[1.        1.0018975],0
83,[1.        1.0019103],0
84,[1.        2.9666438],0
85,[1.        1.0011519],0
86,[1.        0.9993267],0
87,[1.        2.5328376],0
88,[1.        1.0012516],0
89,[1.       2.611149],0
90,[1.       2.771416],0
91,[1.        2.8399541],0
92,[1.      1.00118],0
93,[1.       2.654661],0
94,[1.        2.9769788],0
95,[1.        2.8255851],0
96,[1.         0.00456267],0
97,[1.        2.9113555],0
98,[1.        2.6751065],0
99,[1.        0.9992563],0
100,[1.        0.4896829],0
101,[1.        1.0005212],0
102,[1.        3.1505706],0
103,[1.        2.9413178],0
104,[1.        3.0157802],0
105,[1.        1.0017775],0
106,[1.       2.723427],0
107,[1.        2.4918053],0
108,[1.        1.0006844],0
109,[1.        1.0004597],0
110,[1.        1.0005311],0
111,[ 1.         -0.36035943],0
