Iteration,labels,realization
0,[1.       3.512516],0
1,[ 1.       -3.481124],0
2,[ 1.       -2.475422],0
3,[1.        2.8546507],0
4,[1.         0.48538953],0
5,[ 1.       -3.022692],0
6,[ 1.        -1.1969669],0
7,[ 1.        -2.0495079],0
8,[1.      2.46661],0
9,[ 1.       -4.030693],0
10,[1.         0.74831945],0
11,[1.        0.2209105],0
12,[1.      3.20833],0
13,[ 1.        -2.7876225],0
14,[ 1.        -0.4689407],0
15,[1.        1.6041493],0
16,[ 1.        -1.4110954],0
17,[ 1.        -1.8348371],0
18,[ 1.        -3.2562401],0
19,[ 1.        -2.2589538],0
20,[ 1.        -0.9891798],0
21,[1.        2.2667153],0
22,[1.        2.6674502],0
23,[1.      3.04302],0
24,[1.       4.384542],0
25,[1.        1.1767282],0
26,[1.        0.3530135],0
27,[1.        3.9810648],0
28,[1.        3.3788757],0
29,[ 1.        -2.6358523],0
30,[1.         0.61709654],0
31,[1.         0.09137241],0
32,[1.         0.87911016],0
33,[1.        1.9575557],0
34,[ 1.        -2.9051511],0
35,[ 1.         -0.35342902],0
36,[ 1.        -3.9031353],0
37,[ 1.        -0.5834805],0
38,[ 1.        -3.6264312],0
39,[1.        1.7190285],0
40,[ 1.        -3.1311913],0
41,[1.        1.4963328],0
42,[ 1.        -1.2991408],0
43,[ 1.        -1.7294217],0
44,[ 1.        -1.5148237],0
45,[ 1.        -0.8850933],0
46,[ 1.       -2.156991],0
47,[ 1.        -1.9426947],0
48,[ 1.       -2.371436],0
49,[ 1.        -1.0930558],0
50,[ 1.        -0.1400754],0
51,[1.        2.5607126],0
52,[1.        2.1757834],0
53,[1.        2.7665935],0
54,[1.        2.3676863],0
55,[1.        1.2583684],0
56,[1.        1.0927454],0
57,[ 1.        -2.7098753],0
58,[ 1.       -4.365282],0
59,[1.         0.02502801],0
60,[1.       2.947705],0
61,[ 1.        -3.3992422],0
62,[ 1.      -3.32487],0
63,[1.       3.300662],0
64,[1.        0.4197743],0
65,[1.         0.28660387],0
66,[1.         0.68273807],0
67,[1.        0.5516929],0
68,[ 1.        -3.7077067],0
69,[ 1.        -2.5480828],0
70,[1.         0.81397516],0
71,[1.         0.94313604],0
72,[1.         0.15696557],0
73,[ 1.         -0.64097923],0
74,[1.        3.6814415],0
75,[1.        2.0197136],0
76,[1.        1.8950853],0
77,[1.        1.4345562],0
78,[ 1.         -0.41229805],0
79,[ 1.         -0.52601445],0
80,[ 1.         -0.29674372],0
81,[1.        3.8763335],0
82,[1.        1.6602616],0
83,[ 1.        -1.3532393],0
84,[ 1.        -1.5697583],0
85,[ 1.      -2.84732],0
86,[1.        3.1290882],0
87,[ 1.        -2.9615083],0
88,[ 1.        -2.3139846],0
89,[1.        3.5909853],0
90,[ 1.       -4.191459],0
91,[1.        1.7738645],0
92,[ 1.      -1.78264],0
93,[1.        1.5488355],0
94,[ 1.        -3.5665245],0
95,[ 1.        -2.1038163],0
96,[ 1.        -1.9946429],0
97,[ 1.        -1.1451558],0
98,[ 1.        -1.8899099],0
99,[ 1.        -1.0412189],0
