Iteration,param_diffs
0,[1.8996608 3.6889048]
1,[1.5786103 2.485858 ]
2,[1.8988013 1.8916297]
3,[1.3424811 1.3725805]
4,[1.2988304 1.412668 ]
5,[1.293143  1.4091659]
6,[1.499167  1.6375737]
7,[1.7068663 1.5160596]
8,[1.790448  1.4340022]
9,[1.3724844 1.1804073]
10,[1.1936975 1.1088326]
11,[1.3164872 1.2796266]
12,[1.4380991 1.197792 ]
13,[0.39514053 0.2409854 ]
14,[1.0765743  0.70919037]
15,[1.1230476 0.6861018]
16,[1.2046654  0.65547574]
17,[1.139698  0.6570674]
18,[1.003844   0.48033178]
19,[1.063147   0.43960047]
20,[1.0328368 0.4331956]
21,[1.0903531  0.41897106]
22,[1.1027657  0.43171024]
23,[1.1419691 0.4004506]
24,[0.871931  0.3273368]
25,[0.82649374 0.3601669 ]
26,[0.5885546  0.27859855]
27,[0.5908414  0.27971983]
28,[0.12233472 0.02686894]
29,[0.07906574 0.01462805]
30,[0.06448364 0.00596666]
31,[0.01544086 0.05522645]
32,[0.04481386 0.13691777]
33,[0.18092778 0.22356957]
34,[0.28034258 0.25490326]
35,[0.26348594 0.26538122]
36,[0.25152296 0.26969743]
37,[0.26843202 0.2857812 ]
38,[0.30889934 0.27311367]
39,[0.3157941  0.27019507]
40,[0.4279158 0.2401517]
41,[0.39091223 0.25458455]
42,[0.4014048  0.25413567]
43,[0.4797958 0.2887839]
44,[0.27978274 0.2896996 ]
45,[0.35597584 0.29646719]
46,[0.23068303 0.29110742]
47,[0.11939173 0.30208796]
48,[0.00482227 0.31786305]
49,[0.0577465 0.2738273]
50,[0.05167656 0.27052385]
51,[0.0033599  0.27794462]
52,[0.00209053 0.27873176]
53,[0.02222262 0.26708442]
54,[0.03880143 0.2259084 ]
55,[0.23126362 0.16623783]
56,[0.2646165  0.17247629]
57,[0.15576577 0.19701988]
58,[0.14103198 0.1867525 ]
59,[0.15776563 0.18926775]
60,[0.16495837 0.1925788 ]
61,[0.32866254 0.12646246]
62,[0.46953464 0.09776735]
63,[0.39786944 0.11860049]
64,[0.23194352 0.16186702]
65,[0.22489919 0.1590445 ]
66,[0.2617765  0.15251702]
67,[0.24142775 0.1394459 ]
68,[0.1105082 0.2091822]
69,[0.12186441 0.2141791 ]
70,[0.19883792 0.18716729]
71,[0.15693425 0.17444092]
72,[0.05884819 0.23292804]
73,[0.13593039 0.32434714]
74,[0.10735501 0.3034628 ]
75,[0.10207586 0.30597556]
76,[0.06236283 0.22563213]
77,[0.072045   0.22770828]
78,[0.11644793 0.23824418]
79,[0.12591499 0.24091595]
80,[0.16181995 0.22742432]
81,[0.1474248  0.22267693]
82,[0.09462632 0.20288652]
83,[0.10504255 0.2055881 ]
84,[0.09483983 0.2066074 ]
85,[0.24436226 0.20593911]
86,[0.41761345 0.12691152]
87,[0.41175014 0.1267674 ]
88,[0.3217225  0.18027979]
89,[0.2784198  0.16448194]
90,[0.29991347 0.1655649 ]
91,[0.3503258  0.16434604]
92,[0.31050697 0.16928649]
93,[0.28757435 0.15685517]
94,[0.2829874  0.15721679]
95,[0.29838285 0.16409999]
96,[0.29114842 0.16346556]
97,[0.2555805  0.16110355]
98,[0.24894987 0.16152537]
99,[0.29481146 0.16662067]
0,[0.8555218 1.1044464]
1,[1.8217854 2.5863736]
2,[1.9263879 1.6252966]
3,[1.0388281 1.083685 ]
4,[1.046091  1.0735533]
5,[1.7027009 1.3417087]
6,[1.0762179 0.888312 ]
7,[1.0000532  0.94354755]
8,[1.0691686 0.8445889]
9,[0.41982955 0.40995127]
10,[0.86399657 0.5020486 ]
11,[0.5953104  0.39554274]
12,[0.5866806 0.3906051]
13,[0.5650253  0.40148973]
14,[0.58518785 0.37678552]
15,[0.5763091  0.38251716]
16,[0.5757377  0.38265443]
17,[0.60149264 0.35803634]
18,[0.42791837 0.2662444 ]
19,[0.17980239 0.20361578]
20,[0.14924529 0.19864458]
21,[0.0726957  0.14593506]
22,[0.15877053 0.17982292]
23,[0.05670246 0.11508727]
24,[0.40443623 0.40131783]
25,[0.45717937 0.35067135]
26,[0.47982636 0.3562984 ]
27,[0.390822  0.3197139]
28,[0.26746294 0.36330742]
29,[0.17914665 0.01539695]
30,[0.21050376 0.00565505]
31,[0.01383488 0.13880354]
32,[0.01586205 0.13955867]
33,[0.00252894 0.13064373]
34,[0.6538606  0.39267695]
35,[0.6231164 0.4050454]
36,[0.6198664  0.40519226]
37,[0.62132657 0.4048221 ]
38,[0.59694064 0.40982962]
39,[0.5519331 0.4025972]
40,[0.53428656 0.41460872]
41,[0.4016538  0.40753543]
42,[0.38459936 0.4168334 ]
43,[0.50424707 0.43345213]
44,[0.5399189  0.44864583]
45,[0.56796616 0.4616158 ]
46,[0.47277772 0.4424181 ]
47,[0.47000337 0.44455492]
48,[0.67684644 0.5022137 ]
49,[0.8785027 0.5659493]
50,[0.9880102  0.57490087]
51,[0.9744736 0.5748863]
52,[0.9156035  0.56039405]
53,[0.770746   0.48390055]
54,[0.8236964 0.5030525]
55,[0.7487629  0.47281897]
56,[0.5255857  0.33259916]
57,[0.9201782 0.5593486]
58,[0.9378954 0.5562087]
59,[0.95679355 0.5450727 ]
60,[1.0209546 0.5224658]
61,[0.9945005 0.533242 ]
62,[0.9986442  0.53035057]
63,[0.8553495 0.4392159]
64,[0.8638681  0.43609285]
65,[0.85699666 0.44039524]
66,[0.87331736 0.4390291 ]
67,[0.66409075 0.30069375]
68,[0.66898024 0.2984072 ]
69,[0.6061936  0.31413782]
70,[0.5880045  0.31962872]
71,[0.6134951  0.30538666]
72,[0.60929745 0.30724692]
73,[0.59071094 0.31669033]
74,[0.5717973  0.32017362]
75,[0.5934262  0.30331314]
76,[0.5702276 0.306754 ]
77,[0.5565914  0.30675626]
78,[0.5667037  0.30254912]
79,[0.5654754 0.3028618]
80,[0.6427141  0.30150282]
81,[0.60868174 0.30835962]
82,[0.6318407  0.30676758]
83,[0.68144    0.31336868]
84,[0.92199767 0.4347595 ]
85,[0.9031385  0.42188227]
86,[1.0330342  0.49532843]
87,[1.0079758 0.4816761]
88,[0.98669755 0.4790573 ]
89,[1.1472559 0.5052135]
90,[1.1464415 0.5048497]
91,[1.2411518  0.51026094]
92,[1.2898588 0.5441215]
