Iteration,param_diffs
0,[1.8996608 3.6889048]
1,[1.8636909 1.5273693]
2,[1.8560706 1.3378289]
3,[1.8410335 1.2436099]
4,[1.8406153 1.2457924]
5,[1.8404212 1.0630543]
6,[1.8384914  0.93163466]
7,[1.8288836 0.8547139]
8,[1.828955  0.8539903]
9,[1.8381985 0.8086623]
10,[1.837327   0.81682336]
11,[1.8414074 0.8018801]
12,[1.8278035 0.742429 ]
13,[1.8333616  0.72300684]
14,[1.8297005  0.73945177]
15,[1.8297145  0.73925126]
16,[1.8469558  0.69068384]
17,[1.8447744  0.70101833]
18,[1.8449665  0.70327914]
19,[1.853457  0.6859977]
20,[1.8535118 0.6858654]
21,[1.8514913 0.7087016]
22,[1.839272  0.7246406]
23,[1.8062468  0.68965924]
24,[1.6558417  0.63875604]
25,[1.6619477 0.6571386]
26,[1.6614717 0.6648066]
27,[1.6583861  0.67224956]
28,[1.6585934 0.6735847]
29,[1.6579294 0.6614599]
30,[1.6583066 0.6621206]
31,[1.6465144 0.6425601]
32,[1.6495692 0.6330389]
33,[1.6284674 0.6123321]
34,[1.6299624 0.6071955]
35,[1.5837362  0.56880355]
36,[1.4391261  0.52365685]
37,[1.4375887 0.512064 ]
38,[1.9405371 0.6696161]
39,[1.9151872 0.6455008]
40,[1.9192803 0.6653751]
41,[1.0539069 0.3962233]
42,[1.3752182  0.49712324]
43,[1.3806839  0.48102736]
44,[1.3795215  0.48985028]
45,[1.3890178 0.4703511]
46,[1.1507927  0.39547575]
47,[1.1481634  0.39969087]
48,[1.8094977 0.6085801]
49,[1.810092  0.6080487]
50,[1.8130803 0.6046922]
51,[1.8051126 0.6143204]
52,[1.8004112 0.6022754]
53,[1.8003316 0.6027112]
54,[1.034349  0.3618046]
55,[1.0355057  0.36466146]
56,[1.03555   0.3678186]
57,[1.0367903  0.38016284]
58,[1.029598   0.37321138]
59,[0.7896074  0.29916322]
60,[0.79497874 0.30766392]
61,[0.79698944 0.30423427]
62,[1.1930072  0.42601478]
63,[1.1923935  0.42662442]
64,[1.1415119  0.41087902]
65,[0.92086387 0.3421886 ]
66,[0.92063457 0.34353685]
67,[0.9212727 0.3455118]
68,[0.9222847 0.3376453]
69,[1.6196065 0.5531372]
70,[1.6228703  0.55096436]
71,[1.627453  0.5397327]
72,[1.6277112 0.5381291]
73,[1.6284852 0.5304519]
74,[1.6273949  0.53364265]
75,[1.2570595  0.41934395]
76,[1.2555704 0.4209466]
77,[1.2416735 0.4352938]
78,[1.2425438  0.43028545]
79,[1.246285  0.4257735]
80,[1.2440506  0.42173648]
81,[1.2535833  0.41087902]
82,[1.2523373 0.4127121]
83,[1.121489   0.37260306]
84,[1.1215445  0.35850942]
85,[1.2644587  0.40245247]
86,[1.2783092  0.39184403]
87,[1.2782238 0.3926401]
88,[1.2791607 0.3958081]
89,[1.2800187 0.3929572]
90,[1.069552   0.32850242]
91,[0.8905031 0.2734115]
92,[0.88390505 0.27935243]
93,[0.88161194 0.28186452]
94,[0.5027751  0.16497898]
95,[0.49977887 0.16768539]
96,[0.29750174 0.10500276]
