Iteration,labels,realization
0,[ 1.        -0.2272874],0
1,[1.         0.01768208],0
2,[ 1.         -0.09925964],0
3,[1.        0.4432679],0
4,[1.        1.1466904],0
5,[ 1.        -0.2850769],0
6,[ 1.       -0.983918],0
7,[1.        0.9776508],0
8,[ 1.         -0.16107586],0
9,[ 1.         -0.39609078],0
10,[ 1.        -1.7327425],0
11,[1.         0.69145226],0
12,[1.        0.8904204],0
13,[1.        1.4698013],0
14,[1.        0.6436315],0
15,[ 1.         -0.01143397],0
16,[ 1.        -1.3094449],0
17,[1.         0.36109462],0
18,[1.        1.0296685],0
19,[ 1.         -0.65011024],0
20,[ 1.         -0.33048934],0
21,[ 1.         -0.15742253],0
22,[ 1.        -1.8516157],0
23,[1.         0.02518254],0
24,[ 1.         -0.02851118],0
25,[ 1.         -0.44377288],0
26,[ 1.         -0.59381413],0
27,[ 1.         -0.80640197],0
28,[ 1.         -0.13159668],0
29,[ 1.         -0.01963621],0
30,[ 1.        -1.1995575],0
31,[1.        1.7310978],0
32,[1.         0.25958818],0
33,[1.         0.10429783],0
34,[1.        0.8074387],0
35,[ 1.        -0.2792895],0
36,[1.         0.12577845],0
37,[ 1.         -0.11702752],0
38,[ 1.         -0.23197679],0
39,[1.         0.19288208],0
40,[1.         0.88507134],0
41,[ 1.         -0.66462743],0
42,[1.        2.7463257],0
43,[ 1.        -0.3793525],0
44,[ 1.         -0.21511593],0
45,[1.      0.31083],0
46,[ 1.        -1.2156332],0
47,[ 1.         -0.22126648],0
48,[1.         0.23920159],0
49,[ 1.         -0.71850336],0
50,[1.         0.06914078],0
51,[1.        1.1398108],0
52,[1.        0.9256625],0
53,[1.         0.57976675],0
54,[1.         0.00389482],0
55,[ 1.        -1.4617584],0
56,[1.       1.187215],0
57,[1.         0.32881796],0
58,[1.        1.2998635],0
59,[1.         0.22477083],0
60,[1.        1.5077113],0
61,[1.         0.02337688],0
62,[ 1.         -0.17702435],0
63,[1.        1.1856312],0
64,[ 1.         -0.06120551],0
65,[ 1.       -1.024927],0
66,[ 1.         -0.50175184],0
67,[1.         0.01993942],0
68,[1.         0.40623072],0
69,[1.        0.4624669],0
70,[1.         0.85340714],0
71,[ 1.         -0.65037316],0
72,[ 1.        -1.2443304],0
73,[1.        1.2398108],0
74,[ 1.        -0.8413782],0
75,[1.         0.18193874],0
76,[ 1.        -1.7036184],0
77,[1.        1.3824376],0
78,[1.         0.13589047],0
79,[ 1.         -0.13920248],0
80,[ 1.         -0.02277805],0
81,[ 1.       -0.849844],0
82,[1.         0.20948222],0
83,[1.        2.0248098],0
84,[1.        1.5956304],0
85,[ 1.         -0.81873107],0
86,[1.         0.21564761],0
87,[1.         0.10077847],0
88,[ 1.        -0.6722904],0
89,[ 1.        -1.4383168],0
90,[1.        0.1324966],0
91,[1.        0.6816709],0
92,[ 1.        -1.7865752],0
93,[1.         0.37701577],0
94,[1.        1.1195148],0
95,[ 1.         -0.37443647],0
96,[1.        1.6304065],0
97,[1.         0.02471446],0
98,[1.        0.2942445],0
99,[1.         0.27243936],0
100,[1.        1.2524787],0
101,[1.        0.0254414],0
102,[1.       1.638769],0
103,[1.        0.7220641],0
104,[1.         0.64982665],0
105,[ 1.        -1.0115563],0
106,[1.         0.74104947],0
107,[1.        0.5887681],0
108,[ 1.        -0.6832182],0
109,[ 1.         -0.48497763],0
110,[ 1.        -0.4570853],0
111,[ 1.        -0.5315486],0
112,[1.         0.22442915],0
113,[1.         0.20559643],0
114,[1.         0.21246947],0
115,[1.         0.80474913],0
116,[ 1.         -0.95885354],0
117,[1.         0.07503403],0
118,[ 1.         -0.17085171],0
119,[ 1.        -0.8038649],0
120,[ 1.        -0.2622941],0
121,[ 1.         -0.44696632],0
122,[ 1.         -0.60139394],0
123,[1.        1.4146751],0
124,[1.         0.22362176],0
125,[ 1.        -0.2484311],0
126,[1.         0.69158024],0
127,[ 1.         -0.59305835],0
128,[1.        2.3838835],0
129,[1.        1.4699043],0
130,[1.         0.26867437],0
131,[1.        0.8759733],0
132,[1.        1.4313114],0
133,[ 1.        -0.7173631],0
134,[ 1.         -0.76568985],0
135,[ 1.        -1.1556759],0
136,[ 1.        -1.5922983],0
137,[ 1.        -1.9140868],0
138,[1.       0.576543],0
139,[ 1.        -0.6007299],0
140,[1.         0.67758197],0
141,[ 1.         -0.31637913],0
142,[1.        1.4016144],0
143,[ 1.         -0.89406747],0
144,[1.         0.44743875],0
145,[ 1.        -0.5922352],0
146,[ 1.        -0.2543593],0
147,[1.         0.17472905],0
148,[ 1.        -1.7683002],0
149,[ 1.        -0.8453722],0
150,[ 1.        -1.3597134],0
151,[ 1.         -0.18474275],0
152,[1.         0.05803201],0
153,[ 1.         -0.04535831],0
154,[ 1.        -0.9742008],0
155,[ 1.        -1.3514111],0
156,[1.        0.7514149],0
157,[1.       0.016839],0
158,[ 1.        -0.3209832],0
159,[1.         0.55946463],0
160,[ 1.        -0.9065004],0
161,[1.        1.1966565],0
162,[1.        0.9751644],0
163,[ 1.        -0.5861481],0
164,[1.         0.10830177],0
165,[1.       1.061926],0
166,[1.        0.5703859],0
167,[ 1.       -1.334728],0
168,[ 1.         -0.35135022],0
169,[1.        0.4907605],0
170,[1.         0.95473003],0
171,[1.        1.8028511],0
172,[ 1.        -2.6409574],0
173,[1.        2.6966445],0
174,[ 1.        -0.6937674],0
175,[ 1.        -1.0077512],0
176,[ 1.        -0.6658219],0
177,[ 1.         -0.87092584],0
178,[ 1.         -0.10366707],0
179,[ 1.        -0.8333401],0
180,[ 1.        -1.3339536],0
181,[1.       2.160235],0
182,[1.         0.53165615],0
183,[ 1.        -0.7603902],0
184,[1.         0.13138193],0
185,[1.        1.5238699],0
186,[ 1.         -0.65643317],0
187,[ 1.        -1.1207596],0
188,[1.         0.41157934],0
189,[ 1.        -1.2425088],0
190,[ 1.       -2.668242],0
191,[ 1.        -1.2393093],0
192,[1.         0.67269856],0
193,[1.        0.8659536],0
194,[1.        0.9525975],0
195,[1.      1.47748],0
196,[ 1.        -3.3034778],0
197,[1.        0.7019356],0
198,[ 1.       -1.119045],0
199,[1.        0.6560138],0
200,[ 1.         -0.49712375],0
201,[ 1.        -1.1927893],0
202,[1.        2.4429963],0
203,[1.        0.7812574],0
204,[ 1.        -1.7993178],0
205,[ 1.         -0.34882706],0
206,[1.        0.3035929],0
207,[ 1.       -0.649028],0
208,[ 1.        -1.7702541],0
209,[ 1.         -0.15527216],0
210,[ 1.        -0.7480406],0
211,[ 1.        -0.7359485],0
212,[1.         0.58068997],0
213,[1.        0.5721398],0
214,[ 1.        -0.2698079],0
215,[ 1.        -1.0027722],0
