Iteration,labels,realization
0,[1.       3.010715],0
1,[1.       2.815391],0
2,[1.        3.0111606],0
3,[1.        1.0008551],0
4,[1.        2.6979053],0
5,[1.        2.8686736],0
6,[1.       2.767336],0
7,[1.       2.827305],0
8,[1.        1.0011331],0
9,[1.        2.7755425],0
10,[1.        3.1680999],0
11,[1.        2.8413877],0
12,[1.        3.1638808],0
13,[1.       3.538203],0
14,[1.        3.1295235],0
15,[1.        1.0004528],0
16,[1.        3.1775894],0
17,[1.        2.9761775],0
18,[1.        1.0015228],0
19,[1.        2.5847044],0
20,[1.        3.0777256],0
21,[1.      3.54758],0
22,[1.         0.99944735],0
23,[1.       3.280469],0
24,[1.        2.8250837],0
25,[1.        1.0003718],0
26,[1.        1.0004488],0
27,[1.        2.9188688],0
28,[1.       2.981939],0
29,[1.        2.8888047],0
30,[1.       3.162945],0
31,[1.        2.9027317],0
32,[1.        3.0034623],0
33,[1.        3.1145213],0
34,[1.        2.8713362],0
35,[1.        1.0016541],0
36,[1.       1.000362],0
37,[1.       3.382047],0
38,[1.        2.8337376],0
39,[1.       2.844721],0
40,[1.        2.6764252],0
41,[1.        1.0002004],0
42,[1.        3.5963187],0
43,[1.        3.2117362],0
44,[1.        3.2256503],0
45,[1.        2.6818538],0
46,[1.        1.0007411],0
47,[1.       2.864147],0
48,[1.        3.1639707],0
49,[1.        2.9280891],0
50,[1.        1.0004603],0
51,[1.        2.9266798],0
52,[1.        2.8342683],0
53,[1.        3.1871386],0
54,[1.        2.7801137],0
55,[1.        3.1709118],0
56,[1.        3.4255128],0
57,[1.        3.0339277],0
58,[1.        3.1033766],0
59,[1.        2.5466611],0
60,[1.        2.7367842],0
61,[1.        2.9936342],0
62,[1.        2.9563572],0
63,[1.        3.2384489],0
64,[1.        2.9391344],0
65,[1.        3.0795016],0
66,[1.        3.0721543],0
67,[1.        1.0001891],0
68,[1.       2.994028],0
69,[1.        2.8998764],0
70,[1.       2.851956],0
71,[1.        1.0004503],0
72,[1.        1.0008619],0
73,[1.        1.0005869],0
74,[1.        1.0006337],0
75,[1.        2.8811717],0
76,[1.        3.0370715],0
77,[1.        2.9084492],0
78,[1.        2.6274676],0
79,[1.        1.0007136],0
80,[1.        2.7882261],0
81,[1.        2.9563098],0
82,[1.       3.351618],0
83,[1.        2.8089545],0
84,[1.       2.870177],0
85,[1.       2.882161],0
86,[1.       3.210491],0
87,[1.       2.802407],0
88,[1.        1.0008037],0
89,[1.        3.3374949],0
90,[1.        2.6975746],0
91,[1.        2.8348665],0
92,[1.        3.2969363],0
93,[1.        1.0007998],0
94,[1.        3.0086672],0
95,[1.        3.0847178],0
96,[1.      2.80038],0
97,[1.        3.0125268],0
98,[1.        1.0010794],0
99,[1.        1.0006421],0
100,[1.        1.0005947],0
101,[1.        2.7850645],0
102,[1.        3.0358975],0
103,[1.        3.1389024],0
104,[1.        3.4542215],0
105,[1.        3.1428418],0
106,[1.        0.9995753],0
107,[1.        3.0617716],0
108,[1.        2.6205149],0
109,[1.        3.2185626],0
110,[1.        1.0000054],0
111,[1.        2.8202195],0
112,[1.        2.8983777],0
113,[1.       3.287293],0
114,[1.        2.8778317],0
115,[ 1.         -0.22294825],0
116,[1.        2.7908452],0
117,[1.       2.898598],0
118,[1.        3.0078104],0
