Iteration,param_diffs
0,[0.08122218 0.06737912]
1,[0.34577155 0.75654787]
2,[0.54400146 1.3346648 ]
3,[0.66889465 1.604085  ]
4,[0.15541127 1.3095703 ]
5,[0.8021517 2.5899124]
6,[0.04945648 0.97426105]
7,[0.11208415 1.096555  ]
8,[0.21091184 1.0584145 ]
9,[0.46151084 0.5719888 ]
10,[0.32970822 0.6518756 ]
11,[0.23050162 0.7822783 ]
12,[0.30227512 0.7482629 ]
13,[0.28310534 0.7726587 ]
14,[0.11756787 0.5341737 ]
15,[0.24459127 1.1163771 ]
16,[0.41588    0.81969726]
17,[0.01593521 0.61607814]
18,[0.08660096 0.6297182 ]
19,[0.07796975 0.62673604]
20,[0.25453514 0.75354683]
21,[0.06972745 0.5955329 ]
22,[0.1850245 0.6266998]
23,[0.1269501 0.5757437]
24,[0.12168014 0.57131755]
25,[0.09423099 0.51363313]
26,[0.11181775 0.49400043]
27,[0.17457195 0.51366067]
28,[0.07127592 0.45379066]
29,[0.04339226 0.5906904 ]
30,[0.165512   0.54621494]
31,[0.15033855 0.5703621 ]
32,[0.19436657 0.5594332 ]
33,[0.1002861  0.66292286]
34,[0.10748404 0.6704426 ]
35,[0.0110609  0.51778495]
36,[0.0104857  0.51139355]
37,[0.02073503 0.49697232]
38,[0.08873218 0.3949213 ]
39,[0.0516828 0.372473 ]
40,[0.13634987 0.34883237]
41,[0.15029839 0.33643854]
42,[0.1704477  0.35572052]
43,[0.08845162 0.36374152]
44,[0.12654305 0.34130955]
45,[0.16173935 0.3183782 ]
46,[0.16924658 0.3252666 ]
47,[0.17593142 0.33144522]
48,[0.17488083 0.33025122]
49,[0.32698157 0.17069483]
50,[0.31002033 0.1840415 ]
51,[0.27689448 0.21903324]
52,[0.2163988  0.18319762]
53,[0.1617463  0.13276279]
54,[0.12475491 0.1488185 ]
55,[0.1543582  0.11961627]
56,[0.1642222  0.12847435]
57,[0.22628587 0.07971561]
58,[0.18225917 0.08947051]
59,[0.17772444 0.0913558 ]
60,[0.22269705 0.05902004]
61,[0.42106646 0.00435746]
62,[0.18401468 0.14526796]
63,[0.20380293 0.10500658]
64,[0.18667616 0.09018338]
65,[0.1413312  0.11432195]
66,[0.14999893 0.10429394]
67,[0.19779341 0.14101219]
68,[0.22585128 0.13126779]
69,[0.19099104 0.13532078]
70,[0.14099449 0.1511805 ]
71,[0.1430518  0.15307355]
72,[0.06850524 0.22303987]
73,[0.07109305 0.49718165]
74,[0.07564683 0.49329233]
75,[0.07816853 0.49079418]
76,[0.08608244 0.48334897]
77,[0.09387492 0.48593938]
78,[0.12979996 0.49216366]
79,[0.12196507 0.49828243]
80,[0.20745388 0.5012468 ]
81,[0.20440406 0.50362515]
