Iteration,param_diffs
0,[1.5875292 2.8710828]
1,[1.857688 2.491829]
2,[1.355955  1.5551144]
3,[1.8639891 2.730044 ]
4,[1.9263675 2.7034917]
5,[1.9216802 2.707751 ]
6,[2.0948005 2.66502  ]
7,[1.8956257 2.8064547]
8,[1.4105079 2.2960153]
9,[0.97374815 1.7813946 ]
10,[1.282519  1.4157003]
11,[1.2898046 1.4160596]
12,[1.2258046 1.4767264]
13,[1.3383311 1.274886 ]
14,[1.397366  1.2362285]
15,[0.7446203 0.905124 ]
16,[0.7846556  0.89250207]
17,[0.775532 0.902658]
18,[0.26780453 0.49558413]
19,[0.37529674 0.5416207 ]
20,[0.46420205 0.45318818]
21,[0.12384242 0.1371749 ]
22,[0.09776731 0.16858125]
23,[0.2469628  0.09054548]
24,[0.20584267 0.0575043 ]
25,[0.2897962  0.05698669]
26,[0.38733092 0.00381976]
27,[0.39360508 0.00188309]
28,[0.41989794 0.00436807]
29,[0.50820583 0.01582152]
30,[0.523597   0.02386355]
31,[0.6521383  0.05685163]
32,[0.59999114 0.05060077]
33,[0.6648336  0.10875905]
34,[0.6157661  0.12928784]
35,[0.59098095 0.17116785]
36,[0.51770514 0.13758683]
37,[0.41385737 0.17095613]
38,[0.20355825 0.11492383]
39,[0.21557738 0.10571229]
40,[0.26127613 0.09446824]
41,[0.19016063 0.06432688]
42,[0.22100782 0.06656706]
43,[0.32963538 0.10721874]
44,[0.26546758 0.09196925]
45,[0.31812233 0.10140288]
46,[0.33455682 0.09768808]
47,[0.24226914 0.16232455]
48,[0.17826365 0.11935747]
49,[0.26156572 0.16450906]
50,[0.26987323 0.1693418 ]
51,[0.00704257 0.05020463]
52,[0.07777196 0.10270041]
53,[0.03487456 0.12472707]
54,[0.04365669 0.1188733 ]
55,[0.12121592 0.03739572]
56,[0.24072185 0.11545455]
57,[0.23349479 0.118083  ]
58,[0.24824959 0.09613752]
59,[0.5535849  0.50632143]
60,[0.560017  0.4996531]
61,[0.6056868 0.5306213]
62,[0.5983171 0.5343168]
63,[0.2802164 0.2689495]
64,[0.20855376 0.30646026]
65,[0.29560718 0.38223648]
66,[0.31132942 0.38249278]
67,[0.36458567 0.3327384 ]
68,[0.3484595  0.33357835]
69,[0.24427985 0.3573563 ]
70,[0.19032246 0.3427521 ]
71,[0.28858474 0.40737677]
72,[0.3057676  0.40654242]
73,[0.5235783  0.63102174]
74,[0.468215   0.63940597]
75,[0.52106315 0.5991366 ]
76,[0.5226185 0.597438 ]
77,[0.5339042  0.59558284]
78,[0.548896  0.5955986]
79,[0.5361641  0.59937406]
80,[0.5222387 0.6119659]
81,[0.46350098 0.6010312 ]
82,[0.48260766 0.603086  ]
83,[0.5071037  0.61470425]
84,[0.5155009 0.6054864]
85,[0.52947414 0.5976405 ]
86,[0.4720729  0.60134053]
87,[0.46438307 0.60437393]
88,[0.52073413 0.57073426]
89,[0.614954  0.5644603]
90,[0.3428595 0.2495873]
91,[0.3550183  0.24070215]
92,[0.34807935 0.24320114]
93,[0.32798922 0.260242  ]
94,[0.36171722 0.27120078]
95,[0.38018084 0.29480183]
96,[0.41898268 0.31020796]
97,[0.3295302 0.2547512]
98,[0.3656736  0.26665878]
99,[0.37046596 0.26104355]
100,[0.3697739  0.26133525]
101,[0.36642128 0.26296008]
102,[0.3202136  0.27490962]
103,[0.29735196 0.2686931 ]
104,[0.23340505 0.25790298]
105,[0.2378416  0.25794494]
106,[0.35537824 0.34765184]
107,[0.32223895 0.352669  ]
108,[0.37274125 0.34165895]
109,[0.22727278 0.17370903]
110,[0.15452787 0.12563097]
111,[0.07711782 0.06000948]
112,[0.08845502 0.05450714]
113,[0.14754954 0.14116347]
114,[0.12520602 0.12163019]
115,[0.14103591 0.10751128]
116,[0.12003331 0.12165833]
117,[0.11402327 0.12726057]
118,[0.12963441 0.10672402]
119,[0.09638941 0.1313467 ]
120,[0.02262612 0.01950097]
121,[0.03237465 0.03320646]
122,[0.04127765 0.04197991]
123,[0.06470689 0.04004323]
124,[0.02608984 0.04281545]
125,[0.02491026 0.04215097]
126,[0.0139412  0.05285668]
127,[0.02139423 0.04426742]
128,[0.00048363 0.02927554]
129,[0.01616495 0.02790785]
130,[0.01106271 0.02608931]
131,[0.02889986 0.03138292]
132,[0.02027137 0.03636527]
133,[0.0306386  0.04080081]
134,[0.07987878 0.00880587]
135,[0.00338219 0.07388759]
136,[0.04563612 0.0546627 ]
137,[0.06650732 0.05235362]
