Iteration,param_diffs
0,[1.5875292 2.8710828]
1,[1.7813188 2.4419303]
2,[1.9545252 2.1834974]
3,[2.153186  1.7515652]
4,[2.1750884 1.7167752]
5,[2.1002152 1.7980732]
6,[1.2924933 1.2642462]
7,[1.2442709 1.3218287]
8,[1.2028011 1.3768157]
9,[2.86475   2.9154646]
10,[3.0303807 2.6302745]
11,[2.64379   2.3366456]
12,[2.6051457 2.3668213]
13,[2.677103  2.1394758]
14,[2.7002606 2.1269255]
15,[2.6782227 2.1443563]
16,[2.3061392 1.9645422]
17,[2.3154094 1.9549419]
18,[2.327821  1.9484522]
19,[1.8315678 1.6303463]
20,[1.9143641 1.5559437]
21,[1.2099113 1.0809673]
22,[1.2154975 1.0734034]
23,[1.2072449 1.0792012]
24,[1.2666262 1.0016108]
25,[0.52289206 0.582247  ]
26,[0.5915544 0.5508644]
27,[0.89903516 0.74054056]
28,[0.7544243 0.674216 ]
29,[0.6776944 0.7141893]
30,[0.7356273  0.68138593]
31,[0.5046799  0.56923914]
32,[0.12620175 0.3834476 ]
33,[0.00746751 0.30190504]
34,[0.00609253 0.29361057]
35,[0.0319395  0.25314814]
36,[0.00292412 0.27571744]
37,[0.44387072 0.06035227]
38,[0.97375256 0.27076626]
39,[0.9132755 0.3037367]
40,[0.8802436  0.32066464]
41,[0.7817851  0.28628588]
42,[0.84194106 0.26073885]
43,[0.7887511 0.2853359]
44,[0.8380003  0.30268693]
45,[1.0255276  0.37870383]
46,[1.0403547  0.36737788]
47,[1.0164295  0.37612772]
48,[1.0032185 0.3806256]
49,[0.91205263 0.32813108]
50,[0.90067315 0.3363111 ]
51,[0.89985055 0.33683455]
52,[0.76385814 0.27525628]
53,[0.6098526  0.20426834]
54,[0.5709024  0.22036421]
55,[0.59784347 0.20343566]
56,[0.74351215 0.30535674]
57,[0.7360103 0.3107041]
58,[0.746259   0.29790616]
59,[1.1668293 0.6042291]
60,[1.1677498 0.6035538]
61,[1.1568897 0.6085279]
62,[1.1459897 0.6137295]
63,[0.7044404  0.37115526]
64,[0.5637815  0.31531298]
65,[0.5958081 0.2957667]
66,[0.35983714 0.15873647]
67,[0.39754787 0.13464391]
68,[0.44431305 0.11742949]
69,[0.4704588  0.10105169]
70,[0.47393018 0.10260034]
71,[0.36032403 0.03992236]
72,[0.37679872 0.03437078]
73,[0.01260769 0.21185261]
74,[0.02602668 0.21916008]
75,[0.0618961 0.2347616]
76,[0.0558558  0.22560823]
77,[0.1564678  0.18977463]
78,[0.13287424 0.1789689 ]
79,[0.1431329  0.18147838]
80,[0.1224841  0.17022783]
81,[0.151562   0.18453377]
82,[0.15959819 0.1896348 ]
83,[0.06151272 0.23433954]
84,[0.05781128 0.2316463 ]
85,[0.02358894 0.26440722]
86,[0.00038551 0.27109224]
87,[0.00442941 0.26881564]
88,[0.05629825 0.24029696]
89,[0.10423514 0.3341813 ]
90,[0.10282783 0.3350804 ]
91,[0.09535689 0.33789778]
92,[0.0945143  0.33757746]
93,[0.09705592 0.3356462 ]
94,[0.11480826 0.3437786 ]
95,[0.05542643 0.3009789 ]
96,[0.06724043 0.29426295]
97,[0.06894699 0.293122  ]
98,[0.07147211 0.2894286 ]
99,[0.07304521 0.28816116]
100,[0.10174075 0.281264  ]
101,[0.05432579 0.25755382]
102,[0.08398922 0.24553162]
103,[0.07541321 0.24774462]
104,[0.04004569 0.26238918]
105,[0.08298933 0.27502614]
106,[0.09027408 0.2706421 ]
107,[0.21978103 0.3290698 ]
108,[0.40888834 0.4074388 ]
109,[0.40169063 0.41150272]
110,[0.4201306  0.40223956]
111,[0.5073192  0.44906592]
112,[0.6030524 0.5025109]
113,[0.48199788 0.41252404]
114,[0.47430232 0.4151429 ]
115,[0.4597275  0.42422378]
116,[0.45297924 0.42735684]
117,[0.46066493 0.42278254]
118,[0.4540906  0.42986017]
119,[0.48466688 0.41738278]
120,[0.62702894 0.50086194]
121,[0.63749284 0.48797226]
122,[0.64725494 0.4813912 ]
123,[0.7577007  0.52855206]
124,[0.76432323 0.5307635 ]
125,[0.7767721 0.5262011]
126,[0.7395916 0.5034853]
127,[0.75045663 0.49764532]
128,[0.7319743  0.50485516]
129,[0.5657465  0.41639102]
130,[0.6192149 0.4334157]
131,[0.6285058 0.4287662]
132,[0.6417412  0.42474777]
133,[0.6393753  0.42732334]
134,[0.59402305 0.40230572]
135,[0.47961262 0.33849937]
136,[0.36710566 0.2849632 ]
137,[0.36610043 0.28527594]
138,[0.3713054  0.27849007]
139,[0.39155713 0.26443815]
140,[0.39091364 0.2652663 ]
141,[0.39950487 0.25983465]
142,[0.40162143 0.25877422]
143,[0.3635011  0.27587175]
144,[0.2793302  0.24805433]
145,[0.2620492 0.2542885]
146,[0.38681823 0.32310122]
147,[0.38785288 0.3226    ]
148,[0.3815213  0.32803023]
149,[0.35368696 0.31613845]
150,[0.3451995  0.31870484]
151,[0.33514398 0.3246429 ]
152,[0.33517325 0.32462513]
153,[0.26269406 0.28359556]
154,[0.26401865 0.28227705]
155,[0.25873876 0.28401202]
156,[0.36271346 0.3296485 ]
157,[0.32449955 0.31228948]
158,[0.32433707 0.31237888]
159,[0.31683537 0.31603867]
160,[0.29568845 0.32849985]
161,[0.2937896  0.32940125]
162,[0.29142225 0.33045703]
163,[0.29049957 0.33092803]
164,[0.29692188 0.32645327]
165,[0.27776855 0.31612992]
166,[0.27744752 0.31644225]
167,[0.26392078 0.31005532]
168,[0.24711724 0.30136788]
169,[0.26057574 0.2971611 ]
170,[0.2705744  0.29043186]
171,[0.26903424 0.29158413]
172,[0.2721452  0.28762472]
173,[0.3142751 0.3070982]
174,[0.3025518  0.31269383]
175,[0.30497733 0.310861  ]
176,[0.26856694 0.2907309 ]
177,[0.26710227 0.29167032]
178,[0.26484305 0.2926517 ]
179,[0.3175306  0.31999266]
180,[0.32583842 0.31657255]
181,[0.33265322 0.30805165]
182,[0.31004778 0.31748033]
183,[0.31253377 0.3189894 ]
184,[0.30269167 0.32629597]
185,[0.29703438 0.32913613]
186,[0.3703471 0.369478 ]
187,[0.36581412 0.3715325 ]
188,[0.35654712 0.36685902]
189,[0.4060834  0.39284587]
190,[0.40641823 0.3927139 ]
191,[0.3998671  0.38969606]
192,[0.39893183 0.39016074]
193,[0.4135201  0.38585556]
194,[0.37978697 0.36930412]
195,[0.3546592 0.3599434]
196,[0.36553398 0.35647124]
197,[0.37420627 0.35296035]
198,[0.37084988 0.3515299 ]
199,[0.3639244  0.35477966]
200,[0.2504015  0.28667402]
201,[0.21687613 0.26953506]
202,[0.22291958 0.26463252]
203,[0.22658046 0.26278418]
204,[0.22948176 0.2586494 ]
205,[0.22689325 0.2605992 ]
206,[0.20955542 0.25149995]
207,[0.19942702 0.25572956]
208,[0.2005966  0.25432658]
209,[0.19672285 0.25602943]
210,[0.14448263 0.2372309 ]
211,[0.14045349 0.23948675]
212,[0.12884049 0.24651486]
213,[0.11682815 0.25203836]
214,[0.11415537 0.2530054 ]
215,[0.11657894 0.25018227]
216,[0.11970239 0.24817592]
217,[0.14690275 0.26374352]
218,[0.14462559 0.26546133]
219,[0.1439018 0.2656871]
220,[0.12927237 0.27090883]
221,[0.15143752 0.2819491 ]
222,[0.24622755 0.34088278]
223,[0.20530273 0.32178044]
224,[0.20183845 0.3227744 ]
225,[0.2008733 0.3230948]
226,[0.16636333 0.3096552 ]
227,[0.17232351 0.30659837]
228,[0.16830923 0.30879664]
229,[0.15947673 0.31491053]
230,[0.22210675 0.35189557]
231,[0.264448   0.37137854]
232,[0.26929602 0.36594343]
233,[0.26305392 0.36898756]
234,[0.24101116 0.35711378]
235,[0.3142005  0.39263493]
236,[0.31396228 0.39281064]
237,[0.22936796 0.3548122 ]
238,[0.22687335 0.35698885]
239,[0.23838627 0.35009825]
240,[0.16558763 0.30889297]
241,[0.16872302 0.3062514 ]
242,[0.16918722 0.30528003]
243,[0.16341045 0.3021335 ]
244,[0.18367521 0.29607165]
245,[0.20641053 0.30629802]
246,[0.23569871 0.32191586]
247,[0.23855048 0.320197  ]
248,[0.23340052 0.32499444]
249,[0.23422927 0.3243037 ]
0,[2.5525763 6.6769753]
1,[3.7700639 4.7904043]
2,[4.166155  3.9141488]
3,[3.6443813 2.4845865]
4,[3.6658423 2.459039 ]
5,[3.5584884 2.5386357]
6,[3.7212853 2.3995533]
7,[2.7238379  0.41443312]
8,[2.7396488 0.3965509]
9,[2.8187995  0.30294955]
10,[2.7880447  0.32886636]
11,[1.97341    0.44799745]
12,[1.9077189  0.35633528]
13,[1.9150736  0.36233997]
14,[1.9269946 0.3721543]
15,[1.9274957 0.3725503]
16,[1.8156044  0.31754857]
17,[1.7403629  0.25759447]
