Iteration,param_diffs
0,[0.        1.4245257]
1,[0.         0.57610464]
2,[0.         0.41328907]
3,[0.         0.44553673]
4,[0.         0.63184094]
5,[0.       1.102498]
6,[0.        1.0302112]
7,[0.        0.8838341]
8,[0.        1.0989649]
9,[0.        1.1296985]
10,[0.        0.9382278]
11,[0.        0.8713021]
12,[0.        0.8710662]
13,[0.         0.76419795]
14,[0.        0.6494415]
15,[0.         0.66876066]
16,[0.        0.7233782]
17,[0.         0.72262883]
18,[0.        0.6674795]
19,[0.         0.69527185]
20,[0.        0.6505661]
21,[0.        0.6255262]
22,[0.         0.84512794]
23,[0.         0.80414474]
24,[0.         0.79074836]
25,[0.         0.72010946]
26,[0.       0.638731]
27,[0.        0.6115742]
28,[0.         0.62152743]
29,[0.         0.59369016]
30,[0.        0.6202494]
31,[0.        0.5509145]
32,[0.        0.6823112]
33,[0.        0.6504899]
34,[0.        0.5759312]
35,[0.         0.42026818]
36,[0.        0.4603809]
37,[0.         0.66397536]
38,[0.        0.6496117]
39,[0.         0.65031505]
40,[0.         0.62990427]
41,[0.         0.45757413]
42,[0.         0.43328738]
43,[0.        0.3830279]
44,[0.       0.425578]
45,[0.         0.36732662]
46,[0.        0.3985982]
47,[0.         0.37653935]
48,[0.       0.436123]
49,[0.         0.50662243]
50,[0.         0.42958093]
51,[0.         0.40571094]
52,[0.         0.28558373]
53,[0.        0.3450457]
54,[0.        0.2825384]
55,[0.         0.23747432]
56,[0.        0.2587464]
57,[0.        0.2682829]
58,[0.         0.38384378]
59,[0.        0.3240862]
60,[0.        0.2919253]
61,[0.         0.28032184]
62,[0.         0.27026987]
63,[0.         0.28553605]
64,[0.        0.2265693]
65,[0.         0.23348522]
66,[0.         0.22242749]
67,[0.         0.15387249]
68,[0.         0.18234491]
69,[0.         0.18836665]
70,[0.        0.1829871]
71,[0.         0.16839015]
72,[0.         0.16407835]
73,[0.         0.05021513]
74,[0.         0.04916394]
75,[0.         0.02761698]
76,[0.         0.03204739]
77,[0.         0.04926312]
78,[0.         0.04757941]
79,[0.         0.08392787]
80,[0.        0.0903945]
81,[0.         0.01881027]
82,[0.         0.19339466]
83,[0.        0.2075553]
84,[0.         0.23796153]
85,[0.        0.2458837]
86,[0.         0.25943053]
87,[0.         0.26554835]
88,[0.         0.28381336]
89,[0.         0.29184806]
90,[0.         0.29548657]
91,[0.         0.30406868]
92,[0.         0.23934126]
93,[0.         0.15910685]
94,[0.         0.13886964]
95,[0.        0.1395185]
96,[0.         0.16393709]
97,[0.        0.1509937]
98,[0.         0.19883704]
99,[0.         0.20935154]
0,[0.       3.102387]
1,[0.       2.801382]
2,[0.        2.4742088]
3,[0.        2.5680714]
4,[0.        1.2745318]
5,[0.        1.3328695]
6,[0.        1.0755967]
7,[0.        1.0194545]
8,[0.        1.1047045]
9,[0.        0.8959856]
10,[0.        0.6113557]
11,[0.         0.50583327]
12,[0.        0.5219153]
13,[0.         0.60376835]
14,[0.        0.6781845]
15,[0.        0.7810599]
16,[0.         0.66315496]
17,[0.        0.5605202]
18,[0.       0.630919]
19,[0.        0.6104177]
20,[0.         0.52830267]
21,[0.        0.5620357]
22,[0.         0.52072805]
23,[0.         0.53326035]
24,[0.      0.37008]
25,[0.         0.40074867]
26,[0.         0.48083395]
27,[0.         0.47796243]
28,[0.        0.5698645]
29,[0.        0.4909271]
30,[0.         0.47276437]
31,[0.        0.5098917]
32,[0.         0.37269634]
33,[0.         0.39420438]
34,[0.         0.34943652]
35,[0.         0.28844082]
36,[0.         0.03156525]
37,[0.         0.03729701]
38,[0.         0.02467138]
39,[0.         0.00850445]
40,[0.         0.00931656]
41,[0.         0.14391702]
42,[0.        0.1366198]
43,[0.         0.10508513]
44,[0.        0.0364061]
45,[0.         0.05984557]
46,[0.         0.11889219]
47,[0.         0.11174971]
48,[0.         0.11283147]
49,[0.         0.10530025]
50,[0.         0.16493821]
51,[0.        0.1931215]
52,[0.         0.27315396]
53,[0.         0.24700487]
54,[0.         0.23968625]
55,[0.         0.23302823]
56,[0.         0.19783312]
57,[0.         0.15103602]
58,[0.        0.1636213]
59,[0.         0.17186153]
60,[0.         0.11909437]
61,[0.         0.11865699]
62,[0.         0.11021602]
63,[0.         0.07322538]
64,[0.         0.12480927]
65,[0.        0.1754551]
66,[0.         0.19894749]
67,[0.         0.29298216]
68,[0.         0.27361572]
69,[0.         0.28880936]
70,[0.         0.16550285]
71,[0.         0.14958131]
72,[0.         0.16158003]
73,[0.         0.17889374]
