Iteration,param_diffs
0,[0.        1.4245257]
1,[0.        0.5922086]
2,[0.        0.4826653]
3,[0.        1.2475662]
4,[0.       1.042896]
5,[0.        3.0390325]
6,[0.        2.3067636]
7,[0.        2.1289692]
8,[0.        2.3302646]
9,[0.        2.3429499]
10,[0.        1.9652197]
11,[0.        1.6665686]
12,[0.        0.8180773]
13,[0.         0.64978105]
14,[0.         0.63223016]
15,[0.       0.604224]
16,[0.        0.5553155]
17,[0.         0.48637027]
18,[0.         0.44071782]
19,[0.         0.44270074]
20,[0.        0.4357282]
21,[0.         0.41485465]
22,[0.         0.38791084]
23,[0.         0.48197776]
24,[0.         0.42368615]
25,[0.         0.43117642]
26,[0.         0.43851012]
27,[0.         0.41715807]
28,[0.         0.40552264]
29,[0.       0.671022]
30,[0.         0.66838825]
31,[0.         0.64617264]
32,[0.        0.6317501]
33,[0.         0.54545563]
34,[0.        0.5171003]
35,[0.         0.49774003]
36,[0.         0.15026689]
37,[0.         0.32219768]
38,[0.        0.3081739]
39,[0.         0.27091265]
40,[0.         0.26534933]
41,[0.         0.26795793]
42,[0.         0.26857632]
43,[0.         0.21993917]
44,[0.         0.08620286]
45,[0.         0.19483733]
46,[0.         0.13478863]
47,[0.         0.17018306]
48,[0.         0.17636883]
49,[0.         0.25170445]
50,[0.         0.22475767]
51,[0.         0.24561942]
52,[0.         0.22039795]
53,[0.        0.2300402]
54,[0.         0.23054159]
55,[0.      0.23947]
56,[0.         0.23943985]
57,[0.         0.21975625]
58,[0.        0.2627548]
59,[0.        0.2545929]
60,[0.        0.2567339]
61,[0.         0.06193101]
62,[0.         0.02922255]
63,[0.         0.01248455]
64,[0.         0.01062512]
65,[0.         0.00946617]
66,[0.         0.00530231]
67,[0.         0.00064868]
68,[0.         0.01123834]
69,[0.         0.02749527]
70,[0.        0.0253973]
71,[0.         0.14519322]
72,[0.         0.13284707]
73,[0.         0.00150168]
74,[0.         0.00541461]
75,[0.         0.07248485]
76,[0.         0.05887282]
77,[0.         0.07310557]
78,[0.         0.06523907]
79,[0.         0.07411355]
80,[0.         0.06409246]
81,[0.         0.17155403]
82,[0.        0.1049335]
83,[0.         0.09857142]
84,[0.         0.09175807]
85,[0.         0.08695883]
86,[0.         0.08227801]
87,[0.         0.09998429]
88,[0.         0.10549349]
89,[0.         0.10783958]
90,[0.         0.10702872]
91,[0.         0.10675704]
92,[0.         0.10830182]
93,[0.         0.10791367]
94,[0.         0.08837354]
95,[0.         0.10122842]
96,[0.         0.10760492]
97,[0.         0.11988521]
98,[0.         0.18403596]
99,[0.         0.18692774]
0,[0.       3.102387]
1,[0.        2.1361718]
2,[0.        1.4199878]
3,[0.        2.1964412]
4,[0.        1.7162962]
5,[0.      2.10913]
6,[0.        1.8255115]
7,[0.        1.4399842]
8,[0.        1.4606582]
9,[0.       1.407187]
10,[0.       2.033266]
11,[0.       1.974988]
12,[0.        1.9695979]
13,[0.        1.9225838]
14,[0.        2.5554898]
15,[0.        2.5947864]
16,[0.        2.4823225]
17,[0.       2.441485]
18,[0.       2.244094]
19,[0.        2.2210252]
20,[0.        2.1741421]
21,[0.       2.172614]
22,[0.        2.1599555]
23,[0.        2.7052093]
24,[0.      2.58568]
25,[0.        2.4886355]
26,[0.        2.3037004]
27,[0.        2.3198726]
28,[0.        2.2550178]
29,[0.       2.139079]
30,[0.        2.0045261]
31,[0.        2.0026321]
32,[0.        1.6342726]
33,[0.        1.5629959]
34,[0.       1.585896]
35,[0.        1.6021622]
36,[0.        1.6224613]
37,[0.        1.5211568]
38,[0.        1.4617054]
39,[0.        1.5279561]
40,[0.       1.156802]
41,[0.        1.1570028]
42,[0.        1.1276563]
43,[0.       1.217385]
44,[0.        1.2060084]
45,[0.        1.1443806]
46,[0.        1.1184586]
47,[0.        1.1160204]
48,[0.        1.1337662]
49,[0.        1.1340486]
50,[0.        1.1322446]
51,[0.       1.116843]
52,[0.        1.1161805]
53,[0.       1.059268]
54,[0.        1.0538582]
55,[0.        1.0439905]
56,[0.        1.0008849]
57,[0.        0.9680039]
58,[0.         0.97945905]
59,[0.         0.99664485]
60,[0.         0.95758975]
61,[0.         0.89247584]
62,[0.        0.8976437]
63,[0.        0.5473114]
64,[0.        0.5067197]
65,[0.        0.4964375]
66,[0.        0.5026373]
67,[0.         0.46095216]
68,[0.         0.70597196]
69,[0.         0.70840245]
70,[0.         0.67999184]
71,[0.         0.68121254]
72,[0.         0.68342245]
73,[0.        0.7521757]
74,[0.         0.69623804]
75,[0.         0.66883737]
76,[0.        0.6536572]
77,[0.        0.6648028]
78,[0.        0.6626768]
79,[0.        0.6661465]
80,[0.        0.6782013]
81,[0.        0.6592187]
82,[0.       0.649317]
83,[0.        0.6937797]
84,[0.         0.67467415]
85,[0.        0.5632869]
86,[0.         0.57055616]
87,[0.         0.56328166]
88,[0.        0.5035433]
89,[0.        0.5009491]
90,[0.         0.49490988]
91,[0.         0.49524182]
92,[0.         0.49368942]
93,[0.        0.5023087]
94,[0.        0.5163032]
95,[0.         0.51424503]
96,[0.         0.49765724]
97,[0.         0.48700917]
98,[0.         0.48105812]
99,[0.        0.4617616]
0,[0.        1.8589375]
1,[0.       2.472414]
2,[0.        2.3563774]
3,[0.        1.6300826]
4,[0.        2.2680702]
5,[0.        1.9600515]
6,[0.        1.0515323]
7,[0.        0.9282149]
8,[0.         0.90953565]
9,[0.       0.721277]
10,[0.        0.5956656]
11,[0.        1.2529249]
12,[0.        1.1776423]
13,[0.        1.1348219]
14,[0.        0.8417553]
15,[0.         0.44181597]
16,[0.         0.44060898]
17,[0.        1.1593654]
18,[0.        1.1763992]
19,[0.        1.1722367]
20,[0.        1.1882684]
21,[0.        1.2232311]
22,[0.        1.2041943]
23,[0.        1.1398273]
24,[0.        1.1148686]
25,[0.        1.1116822]
26,[0.       0.996608]
27,[0.        0.8658942]
28,[0.        0.8044337]
29,[0.         0.79606473]
30,[0.         0.96898675]
31,[0.        0.8874302]
32,[0.         0.86510384]
33,[0.        0.8965955]
34,[0.       0.730095]
35,[0.         0.67007804]
36,[0.         0.60604954]
37,[0.         0.48976457]
38,[0.        0.4887303]
39,[0.         0.49421382]
40,[0.         0.30332005]
41,[0.         0.31626976]
42,[0.         0.32863307]
43,[0.         0.15498197]
44,[0.         0.13444304]
45,[0.         0.14683402]
46,[0.         0.14254999]
47,[0.         0.30534214]
48,[0.        0.3191619]
49,[0.         0.32643443]
50,[0.         0.30565763]
51,[0.         0.27670443]
52,[0.         0.28941643]
53,[0.         0.27201772]
54,[0.         0.27212626]
55,[0.        0.1472978]
56,[0.         0.13400942]
57,[0.         0.13675821]
58,[0.         0.13442981]
59,[0.         0.13544488]
60,[0.         0.12433845]
61,[0.         0.12174833]
62,[0.         0.12955731]
63,[0.         0.15116787]
64,[0.         0.20557106]
65,[0.        0.2037313]
66,[0.         0.19789231]
67,[0.         0.21503085]
68,[0.         0.22256964]
69,[0.         0.14987576]
70,[0.         0.18960327]
71,[0.         0.20440662]
72,[0.         0.03735584]
73,[0.         0.03603703]
74,[0.         0.02016753]
75,[0.        0.0305804]
76,[0.         0.03675777]
77,[0.         0.04650402]
78,[0.         0.03316319]
79,[0.         0.04498243]
80,[0.         0.04514813]
81,[0.         0.07429296]
82,[0.        0.0710004]
83,[0.         0.09922957]
84,[0.         0.09446502]
85,[0.         0.07954061]
86,[0.         0.07834965]
87,[0.         0.08921105]
88,[0.         0.08755773]
89,[0.         0.11336523]
90,[0.         0.10788125]
91,[0.        0.1013124]
92,[0.         0.10426253]
93,[0.         0.10512978]
94,[0.         0.20291692]
95,[0.         0.20529282]
96,[0.        0.1953243]
97,[0.         0.19920987]
98,[0.         0.21111733]
99,[0.       0.168701]
0,[0.        2.4977322]
1,[0.        0.5797132]
2,[0.         0.48083442]
3,[0.        0.4437157]
4,[0.        0.3673517]
5,[0.         0.28017038]
6,[0.         0.44494116]
7,[0.        0.3809681]
8,[0.        0.2950713]
9,[0.         0.67953265]
10,[0.        0.6240986]
11,[0.         0.61384153]
12,[0.        0.5592549]
13,[0.        0.9964664]
14,[0.         0.98967427]
15,[0.        0.6488919]
16,[0.        0.6140852]
17,[0.         0.59976137]
18,[0.        0.5726944]
19,[0.         0.47670525]
20,[0.        0.3999383]
21,[0.         0.50462544]
22,[0.         0.48432624]
23,[0.         0.42287034]
24,[0.         0.38924503]
25,[0.        0.3968919]
26,[0.         0.41690975]
27,[0.        0.4078439]
28,[0.         0.37863564]
29,[0.        0.3415081]
30,[0.         0.35871387]
31,[0.         0.38930088]
32,[0.       0.603335]
33,[0.        0.6028453]
34,[0.         0.59514153]
35,[0.        0.8143371]
36,[0.        0.7806286]
37,[0.         0.77997565]
38,[0.         0.75045466]
39,[0.         0.71134794]
40,[0.        0.6802889]
41,[0.         0.69588614]
42,[0.         0.68571997]
43,[0.         0.65177554]
44,[0.        0.6588993]
45,[0.         0.64666843]
46,[0.         0.48958194]
47,[0.         0.30841714]
48,[0.        0.2582146]
49,[0.        0.2593965]
50,[0.         0.23203707]
51,[0.        0.2476759]
52,[0.         0.23881924]
53,[0.         0.24267691]
54,[0.         0.23631316]
55,[0.        0.3396923]
56,[0.         0.32830727]
57,[0.        0.3194524]
58,[0.         0.32871556]
59,[0.         0.32413703]
60,[0.         0.32748568]
61,[0.         0.34129858]
62,[0.         0.33678138]
63,[0.        0.2463538]
64,[0.         0.26384705]
65,[0.         0.30026686]
66,[0.         0.32391638]
67,[0.        0.2900349]
68,[0.         0.29274464]
69,[0.         0.31625342]
70,[0.         0.32570177]
71,[0.         0.34791183]
72,[0.         0.33422863]
73,[0.         0.27958953]
74,[0.         0.27959156]
75,[0.         0.27933246]
76,[0.      0.27129]
77,[0.        0.2677117]
78,[0.         0.27104878]
79,[0.         0.27790612]
80,[0.        0.2823261]
81,[0.         0.29208636]
82,[0.         0.30221397]
83,[0.         0.31183898]
84,[0.         0.29822046]
85,[0.        0.2755741]
86,[0.         0.29719764]
87,[0.         0.28542316]
88,[0.         0.27815533]
89,[0.         0.26890564]
90,[0.         0.25854284]
91,[0.         0.25022304]
92,[0.         0.28070617]
93,[0.         0.33157998]
94,[0.         0.34125453]
95,[0.         0.32313782]
96,[0.         0.32565224]
97,[0.         0.34099615]
98,[0.         0.33321625]
99,[0.         0.33181065]
0,[0.         0.28259313]
1,[0.         0.26014382]
2,[0.         0.54215467]
3,[0.         0.43515396]
4,[0.         0.04811615]
5,[0.        0.0259673]
6,[0.         0.04032153]
7,[0.        1.0962024]
