Iteration,param_diffs
0,[0.        1.4245257]
1,[0.         0.63897145]
2,[0.        0.4221784]
3,[0.        0.2965536]
4,[0.        0.5042043]
5,[0.         0.27541745]
6,[0.       0.209126]
7,[0.         0.14026713]
8,[0.         0.14358163]
9,[0.         0.18996203]
10,[0.         0.19072843]
11,[0.         0.23889208]
12,[0.         0.22138512]
13,[0.        0.1529386]
14,[0.         0.14303923]
15,[0.         0.12809539]
16,[0.         0.13419247]
17,[0.         0.14948976]
18,[0.         0.33136797]
19,[0.         0.23444128]
20,[0.         0.17611253]
21,[0.         0.21964669]
22,[0.         0.06213439]
23,[0.         0.08452785]
24,[0.         0.08835495]
25,[0.         0.10768914]
26,[0.         0.10067821]
27,[0.         0.14063692]
28,[0.         0.08803678]
29,[0.         0.04974365]
30,[0.         0.04857719]
31,[0.         0.06775367]
32,[0.         0.02797973]
33,[0.         0.07176352]
34,[0.         0.07391846]
35,[0.         0.07933629]
36,[0.         0.05241275]
37,[0.         0.05369604]
38,[0.         0.05054247]
39,[0.         0.04604197]
40,[0.         0.04148507]
41,[0.         0.03548825]
42,[0.         0.02900934]
43,[0.         0.00591874]
44,[0.         0.00554168]
45,[0.         0.05638224]
46,[0.         0.04176205]
47,[0.         0.03840518]
48,[0.        0.0351221]
49,[0.         0.03628254]
50,[0.         0.02878028]
51,[0.         0.03142351]
52,[0.        0.0323689]
53,[0.         0.03973478]
54,[0.         0.03447843]
55,[0.         0.03200668]
56,[0.         0.11456144]
57,[0.         0.12157965]
58,[0.         0.05685967]
59,[0.         0.05339921]
60,[0.         0.07117712]
61,[0.         0.08591413]
62,[0.         0.08348405]
63,[0.         0.08576185]
64,[0.         0.07426703]
65,[0.         0.07562327]
66,[0.         0.07013232]
67,[0.         0.07433438]
68,[0.         0.07699198]
69,[0.         0.07107472]
70,[0.         0.06323272]
71,[0.         0.06148779]
72,[0.         0.05425245]
73,[0.         0.04719937]
74,[0.         0.03366143]
75,[0.         0.03192186]
76,[0.         0.08377373]
77,[0.         0.08109128]
78,[0.         0.08294779]
79,[0.         0.08122277]
80,[0.        0.0772149]
81,[0.         0.06979555]
82,[0.         0.07253069]
83,[0.        0.0728603]
84,[0.         0.08609259]
85,[0.         0.14724708]
86,[0.         0.11747122]
87,[0.         0.11670482]
88,[0.         0.13214171]
89,[0.         0.12837404]
90,[0.         0.12056392]
91,[0.         0.12220967]
92,[0.         0.12639862]
93,[0.         0.11398214]
94,[0.         0.10220653]
95,[0.         0.09141278]
96,[0.        0.0808717]
97,[0.         0.07194561]
98,[0.         0.09729075]
99,[0.         0.08642524]
0,[0.       3.102387]
1,[0.        2.1030536]
2,[0.        1.4031668]
3,[0.       0.929112]
4,[0.         0.52202314]
5,[0.        0.2400139]
6,[0.         0.30541205]
7,[0.         0.27369952]
8,[0.         0.40473938]
9,[0.         0.92619133]
10,[0.        0.6556157]
11,[0.         0.64445794]
12,[0.         0.59511197]
13,[0.         0.76679516]
14,[0.        0.7795598]
15,[0.         0.73371536]
16,[0.        0.7013364]
17,[0.         0.66753757]
18,[0.         0.87862724]
19,[0.        0.7762623]
20,[0.         0.68502325]
21,[0.        0.6164189]
22,[0.       0.626941]
23,[0.        0.6397585]
24,[0.         0.59418404]
25,[0.        0.5770623]
26,[0.        0.5528376]
27,[0.         0.55607104]
28,[0.         0.52071434]
29,[0.        0.5170071]
30,[0.        0.4935146]
31,[0.        0.4718927]
32,[0.         0.45495814]
33,[0.         0.45627958]
34,[0.        0.4325031]
35,[0.        0.4419772]
36,[0.        0.3429852]
37,[0.         0.31373125]
38,[0.         0.29647708]
39,[0.        0.2873733]
40,[0.         0.28959155]
41,[0.        0.2956394]
42,[0.         0.29764616]
43,[0.         0.13029647]
44,[0.         0.12152213]
45,[0.         0.10936952]
46,[0.         0.08822048]
47,[0.        0.0937233]
48,[0.         0.09570056]
49,[0.         0.08571893]
50,[0.       0.130831]
51,[0.         0.13800353]
52,[0.         0.14352679]
53,[0.         0.11858088]
54,[0.         0.11495662]
55,[0.         0.16796255]
56,[0.         0.15850002]
57,[0.         0.10640401]
58,[0.         0.09546196]
59,[0.         0.09587771]
60,[0.         0.00792933]
61,[0.        0.0069319]
62,[0.         0.01929903]
63,[0.         0.02556646]
64,[0.         0.02876222]
65,[0.         0.03018653]
66,[0.         0.03457248]
67,[0.         0.04345691]
68,[0.        0.0481298]
69,[0.        0.0442729]
70,[0.        0.0370307]
71,[0.         0.03107667]
72,[0.         0.03290403]
73,[0.         0.03027093]
74,[0.         0.02477431]
75,[0.         0.01843202]
76,[0.         0.04656589]
77,[0.         0.04139364]
78,[0.         0.04450166]
79,[0.         0.03880394]
80,[0.         0.04053283]
81,[0.         0.03824544]
82,[0.         0.03362525]
83,[0.        0.0790571]
84,[0.         0.07893384]
85,[0.        0.0647136]
86,[0.        0.0605849]
87,[0.         0.06620324]
88,[0.         0.06419015]
89,[0.        0.0613997]
90,[0.         0.05015028]
91,[0.         0.00643218]
92,[0.         0.00858051]
93,[0.         0.00897574]
94,[0.         0.01587671]
95,[0.        0.0104267]
96,[0.         0.02228504]
97,[0.         0.01971495]
98,[0.         0.02402008]
99,[0.         0.02843803]
0,[0.        1.8589375]
1,[0.        1.4050639]
2,[0.        1.0688918]
3,[0.        0.9216856]
4,[0.        1.0093553]
5,[0.         0.90464604]
6,[0.        0.6993253]
7,[0.        0.7231543]
8,[0.        0.3618785]
9,[0.         0.23201299]
10,[0.         0.28654313]
11,[0.         0.30008173]
12,[0.        0.3276106]
13,[0.         0.08999801]
14,[0.         0.09817815]
15,[0.         0.02208483]
16,[0.         0.10332215]
17,[0.         0.09904748]
18,[0.         0.06750512]
19,[0.         0.10183913]
20,[0.         0.17739189]
21,[0.        0.6696638]
22,[0.        0.6481031]
23,[0.         0.58176214]
24,[0.        0.5375718]
25,[0.         0.49239808]
26,[0.         0.47794217]
27,[0.         0.48408097]
28,[0.         0.44681525]
29,[0.         0.46188378]
