Iteration,param_diffs
0,[0.        1.4245257]
1,[0.        0.5718384]
2,[0.        1.0659721]
3,[0.        0.6608329]
4,[0.        0.6117828]
5,[0.         0.61746645]
6,[0.       0.566772]
7,[0.        0.5250921]
8,[0.         0.44693875]
9,[0.         0.46844637]
10,[0.         0.48759818]
11,[0.       0.566659]
12,[0.        0.5995517]
13,[0.        1.1361072]
14,[0.         0.87098324]
15,[0.        0.9073107]
16,[0.        1.0131459]
17,[0.        0.9642328]
18,[0.         0.96248996]
19,[0.        0.9615158]
20,[0.         0.94564235]
21,[0.        0.9411417]
22,[0.         0.92291737]
23,[0.         0.90527844]
24,[0.         0.85789347]
25,[0.        0.7792058]
26,[0.        0.7788365]
27,[0.        0.6570338]
28,[0.        0.6253358]
29,[0.         0.23381841]
30,[0.         0.48802996]
31,[0.        0.7200407]
32,[0.         0.78820765]
33,[0.        1.0020907]
34,[0.        0.9718747]
35,[0.        1.0561392]
36,[0.        1.0947726]
37,[0.        1.0735526]
38,[0.        1.0745821]
39,[0.        1.0808985]
40,[0.        1.1997061]
41,[0.        1.1814768]
42,[0.        1.1867597]
43,[0.        1.1878493]
44,[0.        1.1899946]
45,[0.        1.3008287]
46,[0.        1.2235231]
47,[0.        1.1904662]
48,[0.        1.1530056]
49,[0.       1.035955]
50,[0.        1.0003994]
51,[0.        0.9288994]
52,[0.        1.0191972]
53,[0.        1.0881164]
54,[0.        1.0069871]
55,[0.        1.0036044]
56,[0.         0.86860204]
57,[0.         0.73620284]
58,[0.        0.7460315]
59,[0.        0.2150811]
60,[0.         0.17721653]
61,[0.         0.17617595]
62,[0.         0.21623361]
63,[0.         0.04575497]
64,[0.         0.06858629]
65,[0.         0.09874052]
66,[0.         0.11540681]
67,[0.         0.12390423]
68,[0.         0.12333816]
69,[0.         0.12303066]
70,[0.         0.12822324]
71,[0.         0.22076279]
72,[0.        0.1945982]
73,[0.         0.20898765]
74,[0.         0.16207427]
75,[0.         0.13562691]
76,[0.         0.12508935]
77,[0.         0.11662871]
78,[0.         0.11353934]
79,[0.         0.24436045]
80,[0.         0.21703184]
81,[0.         0.22069818]
82,[0.         0.19300711]
83,[0.         0.14564389]
84,[0.         0.18009907]
85,[0.         0.13526767]
86,[0.         0.13869953]
87,[0.         0.14432657]
88,[0.         0.17815095]
89,[0.         0.21032935]
90,[0.        0.1778627]
91,[0.         0.15193474]
92,[0.        0.1621412]
93,[0.         0.15421695]
94,[0.         0.12099487]
95,[0.       0.140562]
96,[0.         0.13437468]
97,[0.         0.17729062]
98,[0.         0.30548078]
99,[0.         0.28911436]
0,[0.       3.102387]
1,[0.        2.9744148]
2,[0.      2.89846]
3,[0.        2.3002532]
4,[0.        1.8839977]
5,[0.        1.9982562]
6,[0.       1.861066]
7,[0.        1.7313912]
8,[0.        1.5915968]
9,[0.        1.6604015]
10,[0.        1.0813434]
11,[0.        1.0480168]
12,[0.        0.7966322]
13,[0.         0.76998585]
14,[0.        1.1421653]
15,[0.        1.0927222]
16,[0.        0.8542887]
17,[0.        0.9616624]
18,[0.         0.91274875]
19,[0.        1.0688473]
20,[0.        1.0057273]
21,[0.        1.2190481]
22,[0.        1.2303245]
23,[0.        1.0088992]
24,[0.        0.9183007]
25,[0.         0.90406114]
26,[0.         0.93428826]
27,[0.         0.92568165]
28,[0.       1.070726]
29,[0.        1.0336585]
30,[0.         0.94828284]
31,[0.         0.97010773]
32,[0.        0.9169433]
33,[0.         0.48232645]
34,[0.        0.5081541]
35,[0.         0.44080716]
36,[0.         0.70918953]
37,[0.         0.68258286]
38,[0.        0.6996653]
39,[0.        0.7069534]
40,[0.         0.62721276]
41,[0.         0.74531657]
42,[0.         0.74449444]
43,[0.        0.7427101]
44,[0.       0.755327]
45,[0.        0.7395681]
46,[0.         0.70788467]
47,[0.         0.78373957]
48,[0.        1.0715957]
49,[0.        1.0926045]
50,[0.       1.129454]
51,[0.        1.1638587]
52,[0.       1.164108]
53,[0.        1.1212802]
54,[0.        1.1081853]
55,[0.        1.2729821]
56,[0.        1.3195732]
57,[0.        1.3117261]
58,[0.        1.2929287]
59,[0.        1.6075368]
60,[0.        1.6758821]
61,[0.        1.7176011]
62,[0.        1.7022729]
63,[0.        1.6944413]
64,[0.        1.6914415]
65,[0.        1.6335332]
66,[0.        1.8195353]
67,[0.        1.8484547]
68,[0.       2.152841]
69,[0.        2.1664224]
70,[0.        2.1673975]
71,[0.        2.2066808]
72,[0.        2.1871715]
73,[0.        2.2041337]
74,[0.       2.202201]
75,[0.        2.1712484]
76,[0.        2.2294242]
77,[0.        2.2062435]
78,[0.        2.1957054]
79,[0.       2.135659]
80,[0.        2.0937943]
81,[0.       2.024056]
82,[0.        2.0288107]
83,[0.        2.0484426]
84,[0.        2.0336854]
85,[0.        2.0594113]
86,[0.        2.0120192]
87,[0.        2.0121763]
88,[0.        1.9781823]
89,[0.        1.9710559]
90,[0.        1.9682472]
91,[0.        1.9676483]
92,[0.        1.9488051]
93,[0.       1.972095]
94,[0.        1.9725738]
95,[0.        1.9758649]
96,[0.        1.9916885]
97,[0.        2.0093942]
98,[0.       2.008625]
99,[0.        1.9686173]
0,[0.        1.8589375]
1,[0.        1.3693743]
2,[0.        1.2164023]
3,[0.        0.7729925]
4,[0.         0.49975467]
5,[0.         0.57238555]
6,[0.         0.64532125]
7,[0.        0.7436609]
8,[0.         0.62857044]
9,[0.         0.60175717]
10,[0.         0.61802423]
11,[0.       0.635764]
12,[0.         0.32951498]
13,[0.       0.412956]
14,[0.        0.9423598]
15,[0.        0.8157475]
16,[0.        0.4224478]
17,[0.         0.92755866]
18,[0.        0.7427827]
19,[0.         0.80008674]
20,[0.         0.49916863]
21,[0.        0.4552294]
22,[0.         0.46996558]
23,[0.        0.4834373]
24,[0.       0.623973]
25,[0.         0.64200294]
26,[0.         0.67402387]
27,[0.         0.19389701]
28,[0.         0.40154755]
29,[0.         0.33802366]
30,[0.         0.35785306]
31,[0.         0.35930645]
32,[0.         0.16797864]
33,[0.         0.16692305]
34,[0.         0.16403902]
35,[0.         0.20236945]
36,[0.         0.05230439]
37,[0.         0.04003918]
38,[0.        0.0110352]
39,[0.         0.06307375]
40,[0.         0.19288492]
41,[0.         0.19706225]
42,[0.         0.22252333]
43,[0.         0.19013584]
44,[0.         0.19686246]
45,[0.         0.34405738]
46,[0.         0.36804026]
47,[0.         0.39731282]
48,[0.         0.32768536]
49,[0.         0.34484613]
50,[0.        0.3542571]
51,[0.         0.35014844]
52,[0.         0.36212534]
53,[0.        0.3903184]
54,[0.         0.43828475]
55,[0.        0.4543153]
56,[0.        0.5018285]
57,[0.         0.42099142]
58,[0.        0.4021548]
59,[0.         0.52645004]
60,[0.        0.5610329]
61,[0.        0.5139693]
62,[0.         0.46782684]
63,[0.         0.42083776]
64,[0.       0.411341]
65,[0.         0.38816184]
66,[0.         0.39287508]
67,[0.        0.3516854]
68,[0.         0.33818042]
69,[0.         0.00328791]
70,[0.         0.00860822]
71,[0.         0.06862116]
72,[0.         0.05257952]
73,[0.         0.16710854]
74,[0.       0.197353]
75,[0.         0.16558266]
76,[0.         0.14144182]
77,[0.         0.12380636]
78,[0.         0.11606264]
79,[0.         0.19882071]
80,[0.         0.23188186]
81,[0.         0.20629823]
82,[0.         0.18108523]
83,[0.         0.09456658]
84,[0.         0.05000746]
85,[0.         0.20643961]
86,[0.         0.16862595]
87,[0.      0.16345]
88,[0.         0.18132615]
89,[0.         0.16918826]
90,[0.         0.16905189]
91,[0.         0.16542721]
92,[0.         0.19009078]
93,[0.         0.13458216]
94,[0.         0.12955892]
95,[0.         0.18101287]
96,[0.         0.18057346]
97,[0.         0.35416842]
98,[0.         0.33763504]
99,[0.         0.34893024]
0,[0.        2.4977322]
1,[0.        0.8871752]
2,[0.         0.73004377]
3,[0.        0.6400969]
4,[0.         0.20544612]
5,[0.        0.4214456]
6,[0.         0.51999533]
7,[0.         0.37355727]
8,[0.        0.5295706]
9,[0.         0.63591176]
10,[0.         0.46950155]
11,[0.         0.54331934]
12,[0.         0.36365438]
13,[0.         0.39298165]
14,[0.         0.17663705]
15,[0.         0.13285506]
16,[0.         0.14424205]
17,[0.         0.13950646]
18,[0.         0.29756987]
19,[0.        0.6955043]
20,[0.        0.8141105]
21,[0.         0.73087627]
22,[0.        0.8902963]
23,[0.        0.8111625]
24,[0.         0.69965196]
25,[0.         0.73605263]
26,[0.        0.7329595]
27,[0.        0.6352267]
28,[0.        0.5941741]
29,[0.        0.5850765]
30,[0.         0.60070056]
31,[0.         0.70206475]
32,[0.         0.80108637]
33,[0.        0.7934005]
34,[0.         0.81565356]
35,[0.         0.84759456]
36,[0.         0.83974236]
37,[0.        0.7533256]
38,[0.         0.89537483]
39,[0.      0.94351]
40,[0.        0.8903509]
41,[0.         0.83100194]
42,[0.         0.88470036]
43,[0.        0.9203522]
44,[0.        1.1382155]
45,[0.        1.1626023]
46,[0.       1.200083]
47,[0.       1.200008]
48,[0.        1.1828928]
49,[0.        1.1811643]
50,[0.        1.2250789]
51,[0.        1.2175272]
52,[0.        1.1978705]
53,[0.        1.1983011]
54,[0.        0.9236644]
55,[0.        0.8969755]
56,[0.        0.9115928]
57,[0.        0.9119318]
58,[0.        1.0484544]
59,[0.        1.0336885]
60,[0.         0.97015893]
61,[0.         0.87552375]
62,[0.        0.7748899]
63,[0.         0.79137313]
64,[0.        0.7902765]
65,[0.        1.1096715]
66,[0.        1.1122319]
67,[0.        1.0964643]
68,[0.        1.0973567]
69,[0.       1.103378]
70,[0.        1.1111933]
71,[0.        1.1418738]
72,[0.        1.1138449]
73,[0.        1.1135211]
74,[0.        1.1114087]
75,[0.        1.0685441]
76,[0.       1.090046]
77,[0.        1.0042926]
78,[0.       0.970501]
79,[0.        0.9376067]
80,[0.        0.9307026]
81,[0.        0.9701176]
82,[0.        0.9792026]
83,[0.         0.98317623]
84,[0.        0.9854827]
85,[0.        1.0153048]
86,[0.        1.0344366]
87,[0.         0.88740104]
88,[0.         0.88393426]
89,[0.         0.88475615]
90,[0.        0.8675629]
91,[0.         0.83135086]
92,[0.        0.8596777]
93,[0.        0.8126974]
94,[0.        0.8134721]
95,[0.         0.78990954]
96,[0.         0.71459895]
97,[0.         0.70504785]
98,[0.         0.72823167]
99,[0.        0.6351841]
0,[0.         0.28259313]
1,[0.        0.2583735]
2,[0.        1.0078058]
3,[0.        0.8941661]
4,[0.        0.9115849]
5,[0.        1.2981956]
6,[0.        1.2715732]
7,[0.        1.6439102]
8,[0.        1.5504651]
9,[0.        1.5097444]
10,[0.       1.635597]
11,[0.        1.6483519]
12,[0.        1.6700608]
13,[0.        1.6756808]
14,[0.        1.5393004]
15,[0.        1.5850717]
16,[0.        1.7452502]
17,[0.        1.9665625]
18,[0.        1.9696414]
19,[0.      1.92031]
20,[0.        1.8697317]
21,[0.        1.8109167]
22,[0.        1.8443315]
23,[0.        1.8804654]
24,[0.        1.8420069]
25,[0.        1.9163907]
26,[0.        1.9159455]
27,[0.        1.9090233]
28,[0.        1.8397756]
29,[0.        1.9304042]
30,[0.        1.8439553]
31,[0.        1.8606138]
32,[0.        1.9187772]
33,[0.        1.9376223]
34,[0.        1.9744713]
35,[0.        1.9147813]
36,[0.        2.0087862]
37,[0.        1.9614954]
38,[0.        1.8801248]
39,[0.        1.8772662]
40,[0.        1.9106429]
41,[0.        1.9207737]
42,[0.        1.9267223]
43,[0.        2.0733442]
44,[0.        1.9203947]
45,[0.        1.8778803]
46,[0.       1.739779]
47,[0.        2.0901349]
48,[0.        2.0007334]
49,[0.        1.9735152]
50,[0.        1.8235512]
51,[0.        1.8299167]
52,[0.       1.852098]
53,[0.        1.8108695]
54,[0.        1.7590778]
55,[0.        1.6334035]
56,[0.        1.6278511]
57,[0.        1.5916046]
58,[0.        1.6013652]
59,[0.        1.6399999]
60,[0.        1.7405128]
61,[0.        1.6731517]
62,[0.        1.6739957]
63,[0.        1.6600981]
64,[0.        1.6596172]
65,[0.        1.6567934]
66,[0.        1.5529822]
67,[0.        1.4572443]
68,[0.        1.5101461]
69,[0.        1.5112655]
70,[0.        1.3831475]
71,[0.        1.3709027]
72,[0.        1.3523145]
73,[0.        1.3627323]
74,[0.        1.2322283]
75,[0.        1.2186368]
76,[0.       1.228028]
77,[0.        1.1660223]
78,[0.        1.1530057]
79,[0.        1.1561145]
80,[0.        1.2982286]
81,[0.        1.3013572]
82,[0.        1.3006439]
83,[0.        1.3340741]
84,[0.        1.3570042]
85,[0.        1.2148246]
86,[0.        1.2227443]
87,[0.         0.96564496]
88,[0.        0.9371955]
89,[0.         0.90643406]
90,[0.        0.9391351]
91,[0.         0.93829274]
92,[0.        0.8828573]
93,[0.        0.9212539]
94,[0.         0.91012394]
95,[0.         0.93666905]
96,[0.         0.93682206]
97,[0.        0.9521942]
98,[0.         0.94294864]
99,[0.        0.9341326]
0,[0.        4.0509815]
1,[0.        2.7801607]
2,[0.        1.1381457]
3,[0.         0.80038816]
4,[0.        0.5153409]
5,[0.        0.1946376]
6,[0.         0.05209213]
7,[0.        0.9929114]
8,[0.         0.68970406]
9,[0.       0.872771]
10,[0.         0.81066084]
11,[0.         0.79366875]
12,[0.        0.7804414]
13,[0.        0.8144369]
14,[0.         0.79810363]
15,[0.        0.8428329]
16,[0.        0.5603931]
17,[0.         0.57159287]
18,[0.        0.9609586]
19,[0.        0.6867396]
20,[0.         0.66723776]
21,[0.         0.54253983]
22,[0.        0.8304896]
23,[0.         0.50485647]
24,[0.        0.6110467]
25,[0.        0.5091841]
26,[0.        0.5187379]
27,[0.        0.4101447]
28,[0.         0.44865918]
29,[0.         0.48001695]
30,[0.         0.45915765]
31,[0.         0.46987885]
32,[0.         0.38902086]
33,[0.         0.57520807]
34,[0.         0.34821248]
35,[0.         0.39852518]
36,[0.         0.38984674]
37,[0.         0.38007027]
38,[0.         0.38347685]
39,[0.         0.30076087]
40,[0.        0.2974494]
41,[0.         0.30394918]
42,[0.         0.32887965]
43,[0.        0.4091382]
44,[0.        0.4481495]
45,[0.         0.45343655]
46,[0.         0.43217945]
47,[0.         0.43763798]
48,[0.        0.5094248]
49,[0.         0.53204024]
50,[0.        0.5298501]
51,[0.        0.5283557]
52,[0.       0.412408]
53,[0.         0.41798848]
54,[0.         0.39380753]
55,[0.         0.36207032]
56,[0.        0.4207707]
57,[0.         0.35740858]
58,[0.         0.35454953]
59,[0.        0.3128816]
60,[0.         0.31232697]
61,[0.         0.33898765]
62,[0.        0.3176663]
63,[0.        0.3210696]
64,[0.        0.3290993]
65,[0.        0.3422147]
66,[0.         0.36033428]
67,[0.         0.36497718]
68,[0.         0.37140656]
69,[0.         0.35808432]
70,[0.         0.33766633]
71,[0.         0.33376032]
72,[0.         0.33833945]
73,[0.         0.26346868]
74,[0.         0.28530145]
75,[0.         0.27249628]
76,[0.         0.31117737]
77,[0.         0.15117198]
78,[0.         0.02460748]
79,[0.         0.00806844]
80,[0.         0.17143929]
81,[0.         0.12263763]
82,[0.         0.15649211]
83,[0.        0.1306988]
84,[0.         0.03712368]
85,[0.         0.01171255]
86,[0.         0.00418353]
87,[0.         0.01440096]
88,[0.         0.00887495]
89,[0.         0.01219839]
90,[0.         0.02676481]
91,[0.         0.06030357]
92,[0.         0.10246813]
93,[0.         0.01261687]
94,[0.         0.00658756]
95,[0.         0.22452408]
96,[0.        0.5854722]
97,[0.        0.5580077]
98,[0.         0.54272556]
99,[0.         0.54091954]
0,[0.        1.3280942]
1,[0.       1.135026]
2,[0.         0.53524697]
3,[0.        0.8924606]
4,[0.        0.9237573]
5,[0.        0.5690646]
6,[0.     0.6178]
7,[0.        0.7169187]
8,[0.         0.99263906]
9,[0.        0.7929599]
10,[0.         0.83026624]
11,[0.         0.12008065]
12,[0.         0.16864091]
13,[0.         0.00075781]
14,[0.        0.0499717]
15,[0.         0.04481411]
