Iteration,param_diffs
0,[0.47624964 1.1134984 ]
1,[1.0829556 0.7454146]
2,[0.7350763  0.40217316]
3,[0.95332515 1.0875025 ]
4,[0.86645794 0.6088151 ]
5,[0.90349054 0.29248142]
6,[0.33618256 0.3219266 ]
7,[0.3660483  0.29642522]
8,[1.1995068 2.4635277]
9,[1.6554003 2.822906 ]
10,[1.4923432 2.867062 ]
11,[1.2748667 2.8728988]
12,[1.1472275 2.892642 ]
13,[0.86444086 2.8730397 ]
14,[0.76999617 2.8670096 ]
15,[0.4700231 2.6457129]
16,[0.4576546 2.644672 ]
17,[0.8094134 2.759904 ]
18,[1.1499689 2.7715597]
19,[0.76308566 2.2796104 ]
20,[0.849864 2.166313]
21,[0.870083  2.1368868]
22,[0.694892  2.0948062]
23,[0.7216177 2.0934663]
24,[0.56510824 2.0496101 ]
25,[0.88430834 2.2010238 ]
26,[0.631063 2.259427]
27,[0.77357596 2.1132178 ]
28,[0.57802176 2.123717  ]
29,[0.6822057 2.2260892]
30,[0.54648095 2.0674937 ]
31,[0.3965965 1.884764 ]
32,[0.41834107 1.9125965 ]
33,[0.6532691 2.0790823]
34,[0.72839975 1.8309624 ]
35,[0.6789649 1.8475597]
36,[0.7800317 1.9834261]
37,[0.9381895 1.8812075]
38,[0.94726455 1.8728399 ]
39,[0.9199216 1.856858 ]
40,[0.82302845 1.882719  ]
41,[0.846697  1.8229117]
42,[0.8942871 1.7165937]
43,[0.9754035 1.8171873]
44,[1.0683577 1.6857185]
45,[0.8871228 1.630754 ]
46,[0.87082297 1.6162949 ]
47,[0.81932914 1.5802124 ]
48,[0.8408086 1.5960925]
49,[0.8486587 1.6074531]
50,[0.8799061 1.4999571]
51,[1.0248412 1.4225242]
52,[1.0397512 1.3776209]
53,[1.0275606 1.3853762]
54,[0.9717045 1.3326831]
55,[0.89994425 1.2981913 ]
56,[1.0557259 1.508879 ]
57,[1.0420426 1.5107379]
58,[1.075732  1.4146681]
59,[1.1122333 1.4408455]
60,[1.1569445 1.4203069]
61,[1.0966959 1.5234551]
62,[1.1610591 1.5115013]
63,[1.1490679 1.512047 ]
64,[1.0710554 1.4846749]
65,[1.1236619 1.516859 ]
66,[1.1490507 1.4738693]
67,[1.1914213 1.4179823]
68,[1.1387259 1.459621 ]
69,[1.0775809 1.4744647]
70,[1.077754  1.4741778]
71,[1.0511899 1.4579067]
72,[1.0111251 1.4556777]
