Iteration,param_diffs
0,[1.5875292 2.8710828]
1,[1.383559 2.342985]
2,[1.8781719 1.5989703]
3,[1.5606916 1.206437 ]
4,[1.7632331 1.0002812]
5,[1.6174117 1.1385355]
6,[1.650445  1.1059008]
7,[1.7005367 1.0262078]
8,[1.5892347 1.1486809]
9,[1.5963036 1.1421387]
10,[1.5812851 1.1594901]
11,[1.603987  1.1150595]
12,[1.6288774 1.0894747]
13,[1.6016465 1.1088575]
14,[1.6554112 1.0701725]
15,[1.7011669 1.0360844]
16,[1.7228397 1.0189217]
17,[1.7020013 1.0430326]
18,[1.7054454 1.033024 ]
19,[1.8020443 1.0542722]
20,[1.8508782 1.0697931]
21,[1.8549745 1.0581077]
22,[1.8187447 1.0741836]
23,[1.785571 1.098927]
24,[1.7692388 1.1059525]
25,[1.5586435 1.0077851]
26,[1.4953116 1.0266262]
27,[1.5479399 1.0057836]
28,[1.5398021 1.0050659]
29,[1.6343699 0.9708222]
30,[1.6450126 0.9347205]
31,[1.7141963 0.9612906]
32,[1.6909298  0.98521036]
33,[1.6688069 0.9778309]
34,[1.4729756  0.89050627]
35,[1.4686294  0.87447906]
36,[1.4863327  0.84827554]
37,[1.3117157 0.8112559]
38,[1.3417916 0.7981191]
39,[1.312523  0.8083402]
40,[1.3449669 0.7869065]
41,[1.1261445 0.6928637]
42,[1.1126041  0.70643854]
43,[1.1337287  0.68089205]
44,[1.1424093  0.63577557]
45,[1.1700934  0.59108144]
46,[1.1285754 0.6087542]
47,[1.1094246 0.6062465]
48,[1.1206067 0.5930434]
49,[1.1193749 0.5790775]
50,[1.0915544 0.592103 ]
51,[1.1117225 0.5814189]
52,[1.1010132  0.59123963]
53,[1.0975733  0.59783524]
54,[1.098452   0.60664284]
55,[1.0798882 0.6180165]
56,[1.2576542  0.68026584]
57,[1.2593975  0.67736876]
58,[1.2930603 0.6473839]
59,[1.2992623 0.6295754]
60,[1.294935  0.6350255]
61,[1.2953068 0.6371286]
62,[1.2893726 0.6418203]
63,[1.292974   0.63278556]
64,[1.2523141  0.64382946]
65,[1.2489018  0.65081716]
66,[1.2453551 0.652094 ]
67,[1.3340765  0.68993425]
68,[1.3963455 0.6663395]
69,[1.3815658  0.67661756]
70,[1.4043884  0.66528344]
71,[1.3877403 0.6692987]
72,[1.3949529 0.665153 ]
73,[1.396231   0.64106715]
74,[1.0058484  0.50930476]
75,[1.01478    0.49376327]
76,[1.0155385 0.4879473]
77,[1.0231273  0.48028016]
78,[1.0090921  0.49728048]
79,[1.0191337  0.48755366]
80,[1.0226275  0.48619056]
81,[1.0227406  0.48702872]
82,[1.0191563  0.48995268]
83,[1.0261431 0.5022101]
84,[1.0102445  0.50512546]
85,[1.0265385  0.49896866]
86,[1.0277989  0.48938966]
87,[1.0244391  0.51492834]
88,[0.98508877 0.5338455 ]
89,[0.9632889 0.5419037]
90,[0.9444597 0.5468484]
91,[0.94320804 0.54469895]
92,[0.9437388  0.54407763]
93,[0.6104563 0.3855613]
94,[0.6107018  0.38717806]
95,[0.6062323  0.39241272]
96,[0.6042145  0.37714767]
97,[0.6020769 0.3784572]
98,[0.59652984 0.38442612]
99,[0.609749   0.38236076]
100,[0.6086176 0.3827774]
101,[0.60209996 0.38855624]
102,[0.61059284 0.38720107]
103,[0.60701835 0.3877176 ]
104,[0.588384   0.40053952]
105,[0.584896   0.40563345]
106,[0.5665455  0.41809535]
107,[0.5650763 0.4186775]
108,[0.11212137 0.23024201]
109,[0.11519483 0.2269069 ]
110,[0.11773089 0.22166044]
111,[0.10752963 0.22378463]
112,[0.10810489 0.2231676 ]
113,[0.10592398 0.22367096]
114,[0.20762312 0.10052288]
115,[0.2026065  0.09938538]
116,[0.2068302  0.10377681]
117,[0.19828293 0.10246229]
118,[0.19323975 0.09785759]
119,[0.19393158 0.09643835]
120,[0.1852803  0.08931762]
121,[0.18802221 0.08290553]
122,[0.17706913 0.07327688]
123,[0.18044987 0.08061612]
124,[0.20214099 0.08796608]
125,[0.19697444 0.08775222]
126,[0.1969859  0.08789897]
127,[0.18476829 0.08511335]
128,[0.18625647 0.08539987]
129,[0.18635051 0.08543378]
130,[0.12839317 0.10927796]
131,[0.12785241 0.10881817]
132,[0.13831477 0.1140703 ]
133,[0.13215348 0.10909545]
134,[0.13297242 0.09962964]
135,[0.13988493 0.10012192]
136,[0.13911128 0.09700924]
137,[0.13900718 0.09655434]
138,[0.13814372 0.09212244]
139,[0.13808493 0.0917443 ]
140,[0.14587991 0.10243684]
141,[0.14366035 0.09861875]
142,[0.1551919  0.10713196]
143,[0.15557912 0.11286759]
144,[0.15593484 0.11276853]
145,[0.06236629 0.21339387]
146,[0.06762779 0.21076143]
147,[0.07439751 0.20895904]
148,[0.07481482 0.20888412]
149,[0.05859086 0.2180472 ]
150,[0.05867568 0.21827859]
151,[0.06196703 0.21612656]
152,[0.05165399 0.21736962]
153,[0.05186363 0.21734357]
154,[0.05189013 0.21722096]
155,[0.13467199 0.25003392]
156,[0.13080302 0.2510574 ]
157,[0.04874749 0.16883641]
158,[0.0434691  0.16791713]
159,[0.04518658 0.17345512]
160,[0.04404207 0.16677773]
161,[0.04305926 0.16153294]
162,[0.04372191 0.16151524]
163,[0.05222368 0.16229427]
164,[0.0544431  0.16830975]
165,[0.05474227 0.17031807]
166,[0.04965067 0.16920179]
167,[0.04115473 0.16690034]
168,[0.04034075 0.16641635]
169,[0.03123326 0.15400815]
170,[0.063952   0.15819901]
171,[0.15519744 0.12051451]
172,[0.16009201 0.12077785]
173,[0.15405026 0.12004125]
174,[0.15083775 0.1180774 ]
175,[0.14693527 0.11541623]
176,[0.1470935  0.11489344]
177,[0.14605497 0.11179668]
178,[0.15724216 0.11604738]
179,[0.15320285 0.10664648]
180,[0.15275753 0.1062929 ]
181,[0.04999555 0.14985627]
182,[0.07872552 0.1635108 ]
183,[0.07746934 0.16263556]
184,[0.07368995 0.1623323 ]
185,[0.08294792 0.16534138]
186,[0.08292797 0.16537547]
187,[0.0871838  0.16895074]
188,[0.09323266 0.17069304]
189,[0.09355723 0.16411203]
190,[0.09040648 0.16116762]
191,[0.09049715 0.15944344]
192,[0.09528253 0.15156728]
193,[0.08771745 0.15071535]
194,[0.08654132 0.15052342]
195,[0.08522547 0.15022284]
196,[0.11433065 0.22417784]
197,[0.11322269 0.22735584]
198,[0.10572661 0.22420418]
199,[0.10600127 0.22489423]
200,[0.11286604 0.22137582]
201,[0.11168172 0.21828997]
202,[0.10514973 0.21823639]
203,[0.3036879 0.3015002]
204,[0.3110252  0.30129594]
205,[0.28604862 0.3133005 ]
206,[0.26853842 0.32152015]
207,[0.0462366  0.17580307]
208,[0.04933369 0.1591708 ]
209,[0.04167241 0.15645623]
210,[0.05163269 0.1767214 ]
211,[0.04935577 0.1751687 ]
212,[0.05151736 0.1761427 ]
213,[0.06354524 0.17112523]
214,[0.07600182 0.18478239]
215,[0.07841946 0.1850028 ]
216,[0.07845967 0.1850217 ]
217,[0.08068352 0.19450635]
218,[0.08168686 0.19528079]
219,[0.08303668 0.19718367]
220,[0.02729265 0.24304843]
221,[0.02661085 0.24343067]
222,[0.02884878 0.24208367]
223,[0.02875669 0.24213386]
224,[0.02875907 0.2421397 ]
