Iteration,labels,realization
0,[1.        3.4610627],0
1,[1.        2.8378353],0
2,[1.        3.0202968],0
3,[1.        3.3356183],0
4,[1.        2.7088842],0
5,[1.        3.8968341],0
6,[1.       3.474234],0
7,[1.        3.0520587],0
8,[1.        2.9465086],0
9,[1.       3.127372],0
10,[1.        3.3683512],0
11,[1.       2.976652],0
12,[1.        3.3526893],0
13,[1.        3.7469764],0
14,[1.      3.22527],0
15,[1.       3.101392],0
16,[1.      3.95444],0
17,[1.       3.071049],0
18,[1.        2.9954853],0
19,[1.        3.1796417],0
20,[1.        3.1239321],0
21,[1.        3.5811613],0
22,[1.        2.9565206],0
23,[1.       3.444367],0
24,[1.        3.0099397],0
25,[1.       3.288291],0
26,[1.       3.782657],0
27,[1.       3.235973],0
28,[1.       3.115704],0
29,[ 1.        -0.2835875],0
30,[1.        3.1795945],0
31,[1.        3.1030486],0
32,[1.        3.3111687],0
33,[1.       3.403167],0
34,[ 1.         -0.25288644],0
35,[1.        3.1349342],0
36,[ 1.         -0.34346628],0
37,[1.        3.9596963],0
38,[ 1.        -0.3858904],0
39,[1.        3.4523625],0
40,[ 1.         -0.44411778],0
41,[ 1.       -0.551317],0
42,[1.        3.9083521],0
43,[1.        4.1102757],0
44,[1.        3.3142025],0
45,[1.        3.1694543],0
46,[1.        3.2406094],0
47,[ 1.         -0.41610798],0
48,[1.        3.2073035],0
49,[1.        3.1621003],0
50,[1.        3.6067033],0
51,[1.       3.218775],0
52,[1.        3.1036723],0
53,[1.        3.2642286],0
54,[ 1.        -0.3327523],0
55,[1.        4.0851474],0
56,[1.        3.6798737],0
57,[1.        3.4046383],0
58,[1.        3.8134499],0
59,[ 1.         -0.26618397],0
60,[ 1.        -0.3295891],0
61,[1.        3.3495698],0
62,[1.        3.3136947],0
63,[1.        3.4160697],0
64,[1.       3.246245],0
65,[1.        3.2948859],0
66,[1.        3.1479275],0
67,[ 1.         -0.26424086],0
68,[1.        3.1774964],0
69,[ 1.         -0.30849713],0
70,[ 1.         -0.37069488],0
71,[1.        3.1183589],0
72,[ 1.         -0.41524306],0
73,[1.        3.2534685],0
74,[ 1.         -0.45275536],0
75,[1.       3.017649],0
76,[1.        3.2329526],0
77,[1.        3.0716515],0
78,[1.        3.0991645],0
79,[1.        3.5009205],0
80,[1.        3.0276403],0
81,[1.        3.1586182],0
82,[1.       3.351618],0
83,[1.       2.986532],0
84,[1.        3.1859875],0
85,[1.       3.101135],0
86,[1.       3.227115],0
87,[ 1.         -0.34011403],0
88,[1.       3.749664],0
89,[1.        3.9127293],0
90,[ 1.        -0.3303937],0
91,[1.        3.7151737],0
92,[1.        3.3802304],0
93,[1.        4.7030525],0
94,[1.        3.0884976],0
95,[1.        3.1922622],0
96,[ 1.         -0.26783937],0
97,[1.        3.0516171],0
98,[1.        4.4908786],0
99,[ 1.        -0.3090616],0
100,[ 1.         -0.35325822],0
101,[ 1.         -0.39352068],0
102,[1.        3.4752352],0
103,[1.        3.5721996],0
104,[1.        3.5804334],0
105,[1.        3.2753236],0
106,[1.        3.7747462],0
107,[1.       3.072121],0
108,[ 1.         -0.33396026],0
109,[1.        3.5984423],0
110,[1.        3.4449306],0
111,[ 1.        -0.3373074],0
112,[1.        3.3793266],0
113,[1.        3.3494883],0
114,[1.        3.6780553],0
115,[1.       4.343748],0
116,[1.        3.1007361],0
117,[1.        3.6467826],0
118,[1.        3.2011185],0
119,[ 1.        -0.2687814],0
120,[1.        3.1744406],0
121,[ 1.         -0.29225075],0
122,[1.       3.680918],0
123,[1.        3.2496264],0
124,[ 1.        -0.2968371],0
125,[1.        3.4743588],0
126,[1.        3.5493627],0
127,[ 1.        -0.3083502],0
128,[1.        3.5396137],0
129,[ 1.         -0.32735053],0
130,[ 1.         -0.36129513],0
131,[ 1.         -0.39576268],0
132,[1.        3.6191313],0
133,[1.       4.058948],0
134,[1.        3.7561164],0
135,[1.        3.3440676],0
136,[1.       3.319697],0
137,[1.        3.3344517],0
138,[1.       3.072692],0
139,[1.        3.1265025],0
140,[ 1.         -0.32430035],0
141,[1.        3.4020073],0
142,[1.        3.2588017],0
143,[1.        3.2909017],0
144,[1.        3.3201408],0
145,[ 1.         -0.31681678],0
146,[1.        3.4783857],0
147,[ 1.         -0.33319545],0
148,[1.        3.1095965],0
149,[1.       3.781513],0
150,[1.       3.513804],0
151,[1.        3.6600263],0
152,[1.       3.399001],0
153,[1.        3.1070127],0
154,[1.        3.2442756],0
155,[ 1.        -0.2907333],0
156,[1.       3.200522],0
157,[1.        3.4814444],0
158,[1.        3.1199884],0
159,[1.       3.247701],0
160,[ 1.        -0.2827968],0
161,[1.       3.289025],0
162,[1.        3.9946408],0
163,[1.        3.0718522],0
164,[ 1.         -0.28370446],0
165,[1.        3.7288797],0
166,[1.       3.334995],0
167,[1.        3.2071495],0
168,[1.        3.4312723],0
169,[1.        3.1453114],0
170,[1.        3.0873702],0
171,[ 1.        -0.2564512],0
172,[1.       3.725464],0
173,[ 1.         -0.26933473],0
174,[1.        3.5304928],0
175,[ 1.         -0.28141093],0
176,[1.        3.3015656],0
177,[ 1.         -0.30636656],0
178,[ 1.         -0.33077684],0
179,[1.        3.2325075],0
180,[ 1.        -0.3585167],0
181,[1.        3.4723659],0
182,[ 1.         -0.36821485],0
183,[1.        3.2371488],0
184,[ 1.        -0.3851556],0
185,[ 1.        -0.4197709],0
186,[ 1.        -0.4418441],0
187,[1.        3.5329375],0
188,[1.        3.3574207],0
189,[1.        3.0913994],0
190,[1.        3.6516743],0
191,[ 1.        -0.4248001],0
192,[1.        3.4026783],0
193,[ 1.         -0.45000464],0
194,[ 1.        -0.4692289],0
195,[ 1.        -0.5225754],0
196,[1.        3.7585497],0
197,[1.        3.1965852],0
198,[1.        3.3164616],0
199,[ 1.         -0.52036494],0
200,[1.        3.4359407],0
201,[1.        3.5924988],0
202,[1.        3.5200396],0
203,[ 1.        -0.5187993],0
204,[1.        3.4202921],0
205,[ 1.        -0.5439684],0
206,[1.        3.0908306],0
207,[1.       3.507702],0
208,[1.       3.366184],0
209,[ 1.         -0.54339373],0
210,[1.        3.0950062],0
211,[1.        3.6651628],0
212,[1.        3.3974614],0
213,[1.        3.5930686],0
214,[1.       3.483243],0
215,[1.        3.1466196],0
216,[1.       3.199921],0
217,[ 1.         -0.49775916],0
218,[1.       3.077794],0
219,[1.        3.4896297],0
220,[ 1.       -0.502683],0
221,[1.        3.1090324],0
222,[ 1.        -0.5148276],0
223,[1.       3.865087],0
224,[ 1.         -0.52533686],0
225,[1.        3.3621533],0
226,[1.        3.1908066],0
227,[1.        3.1350973],0
228,[1.       3.420812],0
229,[1.        3.0656874],0
230,[1.        3.3319767],0
231,[1.        3.0827398],0
232,[1.        3.2740483],0
233,[1.        3.4893665],0
234,[ 1.         -0.49597213],0
235,[1.       3.101686],0
236,[ 1.        -0.5074316],0
237,[ 1.         -0.54518896],0
238,[1.        3.3532677],0
239,[ 1.        -0.5689001],0
240,[1.        3.2300231],0
241,[ 1.        -0.5826337],0
242,[1.        3.1079483],0
243,[1.        3.1607769],0
244,[1.       3.388854],0
245,[1.        3.5256665],0
246,[1.        3.0405195],0
247,[ 1.        -0.5707862],0
248,[1.        3.1058564],0
249,[1.        3.3478596],0
250,[1.       2.997002],0
251,[1.        3.1952076],0
252,[1.        3.2406666],0
253,[1.        3.3606238],0
254,[1.        3.1418827],0
255,[1.        3.2889578],0
256,[1.        3.0951145],0
257,[1.       3.070585],0
258,[1.        3.1301658],0
259,[1.        3.9269965],0
260,[ 1.        -0.5124907],0
261,[1.        3.1066766],0
262,[ 1.       -0.524233],0
263,[ 1.        -0.5463237],0
264,[ 1.        -0.5701023],0
265,[ 1.         -0.59311175],0
266,[ 1.        -0.6053453],0
267,[1.        3.1903207],0
268,[1.        3.0850623],0
269,[1.        4.0035157],0
270,[1.        3.1007729],0
271,[1.        3.0310206],0
272,[1.        4.1495047],0
273,[1.        3.6079037],0
274,[ 1.        -0.5855035],0
275,[1.        3.3785152],0
276,[ 1.       -0.597364],0
277,[1.        3.2648451],0
278,[1.        3.1305273],0
279,[ 1.         -0.59922844],0
280,[1.        3.3442276],0
281,[1.        3.9737384],0
282,[ 1.        -0.6076942],0
283,[1.       3.366616],0
284,[1.       3.920412],0
285,[1.        3.0547445],0
286,[1.        3.6323907],0
287,[1.       3.692134],0
288,[1.        3.4231982],0
289,[1.        3.0745413],0
290,[ 1.        -0.5714204],0
291,[ 1.         -0.58694625],0
292,[1.        3.8160417],0
293,[1.      4.07772],0
294,[1.        3.4125123],0
295,[ 1.        -0.5758979],0
296,[1.        3.1469579],0
297,[1.       3.343747],0
298,[ 1.        -0.5783217],0
299,[ 1.         -0.59578276],0
300,[1.        3.5050466],0
301,[ 1.        -0.6090303],0
302,[ 1.         -0.62933356],0
303,[1.       3.376989],0
304,[1.        2.9844432],0
305,[1.      3.30725],0
306,[ 1.        -0.6289384],0
307,[1.       4.343748],0
308,[1.        3.8757868],0
309,[1.       3.267449],0
310,[1.        3.6714065],0
311,[ 1.         -0.60983014],0
312,[1.       3.193535],0
313,[1.        3.2670133],0
314,[1.        3.1874754],0
315,[1.       4.011782],0
316,[1.        3.2725258],0
317,[1.        3.2885578],0
318,[1.        3.1146739],0
319,[1.       3.433869],0
320,[1.        3.2789786],0
321,[1.        3.2809892],0
322,[ 1.        -0.5721171],0
323,[1.        4.1847258],0
324,[ 1.         -0.57586193],0
325,[1.       3.376452],0
326,[1.        3.0589633],0
327,[1.        3.1658912],0
328,[1.        3.0988727],0
329,[1.       3.034372],0
330,[ 1.         -0.56744313],0
331,[1.        3.6571336],0
332,[ 1.        -0.5791766],0
333,[ 1.         -0.58873063],0
334,[1.       3.336477],0
335,[1.        3.4995532],0
336,[1.        3.4949512],0
337,[1.        3.3033028],0
338,[ 1.        -0.5786608],0
339,[1.        3.1481824],0
340,[1.       3.387181],0
341,[ 1.        -0.5808935],0
342,[ 1.         -0.59598297],0
343,[1.        3.7393951],0
344,[1.       3.617881],0
345,[1.        3.0523114],0
346,[1.        3.1431763],0
347,[ 1.        -0.5876521],0
348,[1.        3.5934494],0
349,[1.        3.0195808],0
350,[1.       3.339857],0
351,[1.        3.9794183],0
352,[1.       3.216022],0
353,[1.        3.0045238],0
354,[ 1.         -0.57211995],0
355,[1.        3.0773168],0
356,[ 1.      -0.58273],0
357,[1.        3.6370306],0
358,[1.        3.0772486],0
359,[1.        3.0748417],0
360,[1.        3.3358526],0
361,[1.        3.7092996],0
362,[1.        3.0106592],0
363,[1.        3.6998782],0
364,[1.        3.3243818],0
365,[ 1.         -0.55316085],0
366,[1.        3.8693137],0
367,[1.        3.6819665],0
368,[1.        3.1947145],0
369,[ 1.       -0.543091],0
370,[1.        3.4464016],0
371,[1.        3.3713121],0
372,[1.        3.1693182],0
373,[ 1.         -0.54008967],0
374,[1.        3.2284286],0
375,[1.        3.8774307],0
376,[1.        4.1446395],0
377,[1.        3.9323893],0
378,[1.        3.2114246],0
379,[1.       3.309815],0
380,[1.        3.9596963],0
381,[ 1.        -0.5192801],0
382,[ 1.         -0.52531356],0
383,[ 1.        -0.5421891],0
384,[1.        3.1168964],0
385,[1.        3.2044525],0
386,[1.        3.1311307],0
387,[1.       3.235692],0
388,[ 1.        -0.5397284],0
389,[1.        3.0677295],0
390,[ 1.        -0.5548536],0
391,[ 1.      -0.56626],0
392,[ 1.        -0.5782754],0
393,[ 1.         -0.58725965],0
394,[1.        3.1053774],0
395,[ 1.         -0.59910077],0
396,[1.        3.2100832],0
397,[1.        3.1433017],0
398,[ 1.       -0.598551],0
399,[1.        3.4555068],0
400,[ 1.        -0.6064723],0
401,[1.        3.7506793],0
402,[ 1.        -0.6137965],0
403,[ 1.         -0.63147604],0
404,[ 1.         -0.64372396],0
405,[1.        3.0619664],0
406,[1.        3.2006226],0
407,[ 1.         -0.64930654],0
408,[1.        3.2753873],0
409,[1.        3.1781957],0
410,[1.      3.07202],0
411,[1.        3.4597528],0
412,[1.        3.2705698],0
413,[1.        3.1603794],0
414,[1.        3.6696439],0
415,[ 1.        -0.6291172],0
416,[ 1.        -0.6522135],0
417,[ 1.        -0.6625889],0
418,[1.        3.4780061],0
419,[1.        3.1966345],0
420,[1.        3.9681847],0
421,[ 1.        -0.6573942],0
422,[1.        3.3506334],0
423,[ 1.         -0.67216116],0
424,[1.        3.2057185],0
425,[1.        3.3674827],0
426,[1.        3.5249195],0
427,[ 1.        -0.6612656],0
428,[1.        3.1394806],0
429,[1.        3.1182477],0
430,[1.        3.1006994],0
431,[1.        3.1133375],0
432,[1.       3.048769],0
433,[1.        3.0338082],0
434,[1.        3.7740054],0
435,[ 1.         -0.65059465],0
436,[1.        3.4332175],0
437,[ 1.        -0.6554379],0
438,[1.       3.362921],0
439,[1.        3.6875384],0
440,[1.        3.4191537],0
441,[ 1.        -0.6502782],0
442,[1.        3.0217295],0
443,[1.        3.2068937],0
444,[1.       3.443593],0
445,[1.        3.0323818],0
446,[1.        3.4162745],0
447,[ 1.        -0.6402657],0
448,[1.        3.2319524],0
449,[1.      3.32687],0
450,[1.        3.9514847],0
451,[1.        3.0525286],0
452,[1.        3.3331342],0
453,[1.        3.1709118],0
454,[1.       3.106602],0
455,[ 1.        -0.6220106],0
456,[1.        3.3465636],0
457,[1.        3.1381242],0
458,[1.        3.2670133],0
459,[1.        2.9690151],0
460,[1.        3.0382156],0
461,[1.       3.479911],0
462,[1.        3.2687588],0
463,[ 1.        -0.6082489],0
464,[ 1.        -0.6197435],0
465,[1.        3.1613913],0
466,[ 1.         -0.62305194],0
467,[1.       3.007262],0
468,[1.        3.2506268],0
469,[1.        2.9629395],0
470,[1.        3.1985223],0
471,[ 1.        -0.6237274],0
472,[1.       3.394311],0
473,[ 1.        -0.6299456],0
474,[1.        3.0747063],0
475,[1.        3.1159344],0
476,[1.        3.2049103],0
477,[1.        3.1179767],0
478,[ 1.         -0.63117987],0
479,[1.        3.3274765],0
480,[1.        3.2920465],0
481,[ 1.        -0.6376025],0
482,[1.        3.0493596],0
483,[ 1.        -0.6433997],0
484,[1.        3.4245641],0
485,[1.        3.6542716],0
486,[1.        3.1288881],0
487,[1.        3.2792373],0
488,[1.        3.1266565],0
489,[1.        3.1501002],0
490,[1.        3.6793523],0
491,[1.        3.3096008],0
492,[1.        3.1848884],0
493,[1.        3.2253785],0
494,[1.        3.6811798],0
495,[1.        3.0250494],0
496,[1.        2.9941607],0
497,[ 1.         -0.60936457],0
498,[1.      3.77033],0
499,[1.        4.5215344],0
500,[ 1.         -0.62016684],0
501,[1.        3.5480652],0
502,[1.       3.396216],0
503,[1.       2.977634],0
504,[1.        3.6444838],0
505,[1.        3.3325934],0
506,[1.       3.000323],0
507,[1.        3.1471274],0
508,[1.        3.5182858],0
509,[1.       3.568868],0
510,[1.        3.2606232],0
511,[1.        4.6525683],0
512,[1.        3.2603188],0
513,[1.        4.0511646],0
514,[ 1.        -0.5739031],0
515,[1.        3.2194135],0
516,[1.       3.638819],0
517,[1.        3.1825173],0
518,[1.       3.217554],0
519,[1.        3.5861225],0
520,[1.       3.615012],0
521,[ 1.         -0.56399643],0
522,[ 1.        -0.5683788],0
523,[1.        3.2642903],0
524,[1.        3.1616127],0
