Iteration,param_diffs
0,[1.5875292 2.8710828]
1,[2.0252047 1.52424  ]
2,[2.0945911 1.1212095]
3,[2.142686  1.0507758]
4,[2.1667404 0.9503722]
5,[2.2223709 0.8939912]
6,[2.2763243 0.777045 ]
7,[2.2830977  0.75999135]
8,[2.2491689 0.8181381]
9,[2.2519426  0.81425625]
10,[2.2788365  0.77541566]
11,[2.2920394  0.75209236]
12,[2.2917733  0.76763374]
13,[2.3006227  0.76088333]
14,[2.3207881 0.7378338]
15,[2.292599   0.76573396]
16,[2.296864   0.72178054]
17,[2.297895  0.7056363]
18,[2.291252  0.7100692]
19,[2.2600431  0.72791886]
20,[2.2587097 0.7295645]
21,[2.2587826 0.7280952]
22,[2.261693  0.7230692]
23,[2.2629762 0.7195025]
24,[2.269267  0.7004848]
25,[2.24478   0.7223152]
26,[2.2428339 0.7294099]
27,[2.7769375 0.9010271]
28,[1.397459  0.4511292]
29,[1.3861485  0.43428707]
30,[1.3947685  0.42811012]
31,[1.3923044  0.44001442]
32,[1.3960922  0.43631262]
33,[1.4032902 0.427221 ]
34,[1.4090494  0.43941885]
35,[1.4017022  0.44815886]
36,[1.5151178  0.48386222]
37,[1.5139977 0.4785753]
38,[1.5129116  0.48094916]
39,[1.5036695  0.46552062]
40,[1.6745975 0.5185032]
41,[1.2070724 0.3721304]
42,[1.6239079  0.50399923]
43,[1.6258186  0.50310296]
44,[1.6151867  0.52473044]
45,[1.602739  0.5385854]
46,[1.5997248  0.52940315]
47,[1.1005112  0.37199503]
48,[1.0972679  0.37477493]
49,[1.1018894  0.38388294]
50,[1.0990667  0.39624357]
51,[1.0948688 0.3836159]
52,[1.0886489  0.39259994]
53,[1.0926856  0.39028668]
54,[1.3045807  0.45576274]
55,[1.3038049  0.45183986]
56,[1.308446  0.4489203]
57,[1.3150887 0.443919 ]
58,[1.3146935  0.43995094]
59,[1.3186686  0.43680042]
60,[1.229886   0.40959924]
61,[1.225921   0.39733654]
62,[1.2326646  0.40609372]
63,[1.24076    0.40065825]
64,[1.2319698 0.4063456]
65,[1.2314594  0.39700526]
66,[1.2317178  0.39447558]
67,[1.2319182  0.38434345]
68,[1.232638   0.38149124]
69,[1.232235   0.38416857]
70,[1.2321557  0.38189882]
71,[1.1102059  0.34570056]
72,[1.0591557  0.33046287]
73,[0.8066095 0.2546445]
74,[0.8065815  0.25466585]
75,[0.80696964 0.2536338 ]
76,[0.800184   0.25774872]
77,[0.8012334  0.26239395]
78,[0.79986435 0.26881075]
79,[0.8057123  0.26438528]
80,[0.5775603 0.1962269]
81,[0.57790554 0.19451106]
82,[0.75935066 0.24889326]
83,[0.72900206 0.23974639]
84,[0.7474112  0.24532348]
85,[0.74700075 0.24431527]
86,[0.45374972 0.15561634]
87,[0.45376822 0.15568095]
88,[0.45547676 0.15443116]
89,[0.45429307 0.1579377 ]
90,[0.44998875 0.16414064]
91,[0.4606653 0.1586219]
92,[0.52180606 0.17705983]
93,[0.51766723 0.17901057]
94,[0.5206624  0.17717129]
95,[0.5210165  0.17666417]
96,[0.10629696 0.05120218]
97,[0.30905062 0.11298639]
98,[0.3097178  0.11217731]
99,[0.3102876  0.10696197]
100,[0.31088445 0.10523653]
101,[0.31088287 0.10523486]
102,[0.6857474  0.21850252]
103,[0.50478005 0.1634264 ]
104,[0.50421655 0.16250038]
105,[0.5044058  0.16225731]
106,[0.5062438 0.1657803]
107,[0.5036616  0.15949029]
108,[0.50379735 0.15672606]
109,[0.50417274 0.1573394 ]
110,[0.50381666 0.15530002]
111,[0.33383238 0.10496974]
112,[0.33332166 0.10520566]
113,[0.399971   0.12504226]
114,[0.4032074  0.12368727]
115,[0.40290555 0.12457532]
116,[0.40762943 0.1186074 ]
117,[0.40801832 0.11829185]
118,[0.40938213 0.1208421 ]
119,[0.4059554  0.12256235]
120,[0.4036832  0.12421012]
121,[0.39687023 0.12927091]
122,[0.39528173 0.12738794]
123,[0.39469275 0.12189633]
124,[0.12578937 0.04300648]
125,[0.05418113 0.02188772]
126,[0.05343759 0.02260101]
127,[0.05325383 0.02481955]
128,[0.00465099 0.01047665]
129,[0.12550984 0.04627413]
130,[0.13621941 0.04945874]
131,[0.13468832 0.05574834]
132,[0.1316336 0.0582146]
133,[0.15565425 0.06536764]
134,[0.1553733  0.06628418]
135,[0.15533374 0.06667781]
136,[0.15894276 0.06415224]
137,[0.10337445 0.01386142]
138,[0.10275611 0.01445639]
139,[0.17800218 0.03692687]
140,[0.17432341 0.04090846]
141,[0.00688948 0.01337159]
142,[0.00954676 0.01174062]
143,[0.01131964 0.01742959]
144,[0.01157457 0.01709926]
145,[0.00888374 0.02073073]
146,[0.01011705 0.02003622]
147,[0.00838532 0.02238554]
148,[0.00813506 0.02295595]
149,[0.01069978 0.02031374]
150,[0.01033992 0.02178144]
151,[0.00943538 0.0264985 ]
152,[0.00733612 0.02587557]
153,[0.00746347 0.02634788]
154,[0.00153342 0.02458751]
155,[0.05626023 0.0408805 ]
156,[0.05691636 0.03934717]
157,[0.05717292 0.03827918]
158,[0.04428276 0.03444165]
159,[0.04659111 0.03098893]
160,[0.0505112  0.02850884]
161,[0.00645836 0.01150912]
162,[0.01181468 0.01575702]
163,[0.00862179 0.01337093]
164,[0.0120948  0.01722723]
165,[0.0119486  0.01564217]
166,[0.01201963 0.01574028]
167,[0.01343732 0.01934904]
168,[0.01526066 0.02015346]
169,[0.01206499 0.0183543 ]
170,[0.01123255 0.01779234]
171,[0.14385197 0.06392276]
172,[0.10666025 0.05282229]
173,[0.10700764 0.05248052]
174,[0.10257199 0.05422568]
175,[0.10235626 0.05546594]
176,[0.10282207 0.05511528]
177,[0.10493196 0.05355108]
178,[0.10524492 0.05544591]
179,[0.10871545 0.05354625]
180,[0.10883707 0.0534851 ]
181,[0.10914735 0.05317366]
182,[0.10762507 0.05152464]
183,[0.107991   0.05137181]
184,[0.10964864 0.05186248]
185,[0.111688   0.05013162]
186,[0.10850236 0.0522778 ]
187,[0.01160975 0.01666594]
188,[0.01062927 0.01576728]
189,[0.01254848 0.01716465]
190,[0.01208781 0.01974696]
191,[0.01257212 0.02004474]
192,[0.01465645 0.0228467 ]
193,[0.01559051 0.02376777]
194,[0.01844315 0.02701175]
195,[0.15434481 0.01321089]
196,[0.15850502 0.0144465 ]
197,[0.1561162  0.01618278]
198,[0.1967501  0.02827239]
199,[0.19411403 0.0308485 ]
200,[0.19500075 0.02943122]
201,[0.19683912 0.02694845]
202,[0.19678664 0.02684665]
203,[0.19691223 0.02668989]
204,[0.19627717 0.02401412]
205,[0.2018892 0.0213722]
206,[0.20193753 0.01852036]
207,[0.09188254 0.01402336]
208,[0.09213256 0.01469547]
209,[0.09124985 0.01335698]
210,[0.09305158 0.00970978]
211,[0.09282914 0.01032174]
212,[0.09247673 0.00873393]
213,[0.09025931 0.01336682]
214,[0.0903089  0.01342064]
215,[0.15303844 0.00499129]
216,[0.15140104 0.00630522]
217,[0.15183946 0.00601256]
218,[0.15196508 0.00529456]
219,[0.15118232 0.00586414]
220,[0.15076488 0.00619841]
221,[0.15172307 0.00907516]
222,[0.12268525 0.00056159]
223,[0.2626445  0.04167569]
224,[0.26257905 0.04170406]
225,[0.23455963 0.03344941]
226,[0.3398356  0.06453598]
227,[0.3809504  0.07670891]
228,[0.37973502 0.07729423]
229,[0.3775214  0.07663727]
230,[0.37773553 0.07648563]
231,[0.37805733 0.07898343]
232,[0.37586254 0.080248  ]
233,[0.375721   0.08084941]
234,[0.37488782 0.08127034]
235,[0.37433782 0.08160269]
236,[0.37598178 0.07967043]
237,[0.37715405 0.07862425]
238,[0.37612852 0.08017898]
239,[0.38059044 0.07816637]
240,[0.28858435 0.05093193]
241,[0.2885335  0.04963768]
242,[0.28896487 0.04819608]
243,[0.28895906 0.04680288]
244,[0.2894895  0.04540575]
245,[0.2668009 0.0387044]
246,[0.26698598 0.03814113]
247,[0.2674542  0.03973329]
248,[0.21288623 0.0236299 ]
249,[0.21295108 0.02295184]
0,[2.5525763 6.6769753]
1,[3.21198   5.5610886]
2,[3.5100956 4.966242 ]
3,[3.5545316 4.8732376]
4,[3.4783058 5.028978 ]
5,[3.612251  4.7324104]
6,[3.6690674 4.5821304]
7,[3.7290587 4.4163675]
8,[3.8221838 4.1393843]
9,[3.8875613 3.7140307]
10,[3.800834 3.109375]
11,[3.7265205 2.6981544]
12,[3.631114  2.3469756]
13,[3.6329248 2.3171   ]
14,[3.609589 2.127635]
15,[3.6107566 2.033195 ]
16,[3.60039   1.9078214]
17,[3.5890398 1.8567672]
18,[3.5857208 1.8463769]
19,[3.590472  1.8067877]
20,[3.5910225 1.817841 ]
21,[3.5739334 1.7542334]
22,[3.5588744 1.6887751]
23,[3.5488257 1.6026337]
24,[3.54144   1.5766783]
25,[3.5423815 1.5670116]
26,[3.5101895 1.5104423]
27,[3.5083745 1.5056701]
28,[3.4799216 1.4653239]
29,[3.4849331 1.4565713]
30,[3.4825077 1.435667 ]
31,[3.4848995 1.4105108]
32,[3.4829473 1.4050374]
