Iteration,param_diffs
0,[0.07673112 1.4710717 ]
1,[1.9543514 2.8968015]
2,[1.5626403 2.1429849]
3,[1.4385434 2.0906518]
4,[1.5295701 2.1291022]
5,[1.2910649 1.779876 ]
6,[1.3456686 1.7985096]
7,[1.1777178 1.5621014]
8,[0.9361414 1.2888894]
9,[0.7704426 1.0923088]
10,[0.8665541 1.2139468]
11,[0.7870766 1.2005471]
12,[1.0122977 1.4308608]
13,[0.98089427 1.4262817 ]
14,[0.9500071 1.4016111]
15,[0.80144835 1.2630349 ]
16,[0.6148288 1.0771997]
17,[0.59060144 1.0579016 ]
18,[0.47776234 0.9792616 ]
19,[0.412232   0.93740654]
20,[0.49102414 0.9425442 ]
21,[0.45594782 0.9211182 ]
22,[0.4753958 0.9340946]
23,[0.6703196 1.0405556]
24,[0.6172376 1.0030051]
25,[0.40051523 0.8858266 ]
26,[0.34008634 0.8391384 ]
27,[0.2540102  0.83744925]
28,[0.20678411 0.8066373 ]
29,[0.11677608 0.7506939 ]
30,[0.07550627 0.7504096 ]
31,[0.07677007 0.7512866 ]
32,[0.02533352 0.72566307]
33,[0.12479954 0.7710592 ]
34,[0.07103479 0.7347648 ]
35,[0.01169302 0.7088703 ]
36,[0.02555695 0.6932225 ]
37,[0.08728638 0.6601064 ]
38,[0.10764122 0.6495732 ]
39,[0.11633482 0.64300835]
40,[0.33597142 0.4414565 ]
41,[0.28623444 0.4128644 ]
42,[0.45834595 0.49164683]
43,[0.4855941 0.505805 ]
44,[0.44705743 0.4718063 ]
45,[0.4005472 0.4458608]
46,[0.3852098  0.43778205]
47,[0.34591824 0.4218288 ]
48,[0.30326232 0.39721763]
49,[0.25060305 0.41744304]
50,[0.20301485 0.39651215]
51,[0.18488494 0.38571388]
52,[0.16193312 0.37376845]
53,[0.05663925 0.37905204]
54,[0.04644233 0.37436587]
55,[0.87435067 0.05058694]
56,[0.7955247  0.02219045]
57,[0.7538022  0.00928903]
58,[0.74967396 0.00660253]
59,[0.7664782  0.02483213]
60,[0.74792206 0.01866418]
