Iteration,param_diffs
0,[0.07673112 1.4710717 ]
1,[0.45950013 0.31789827]
2,[0.3294704 0.5581219]
3,[1.1616799 1.8283453]
4,[1.1888463 2.3617315]
5,[1.100475  2.3217897]
6,[0.99746776 1.4490354 ]
7,[1.2914894 1.6622295]
8,[1.3157115 1.6534275]
9,[1.2621994 1.5996614]
10,[0.88946843 1.1585733 ]
11,[0.93723834 1.1346371 ]
12,[0.67656654 0.88135123]
13,[0.46602258 1.0620228 ]
14,[0.38697755 1.0192921 ]
15,[0.13451914 1.3517691 ]
16,[0.09803966 1.3511262 ]
17,[0.2038331 1.3785208]
18,[0.14697826 1.9950851 ]
19,[0.3938659 1.8634232]
20,[0.69700223 1.9762129 ]
21,[0.58680546 1.9870144 ]
22,[0.3733256 1.9491367]
23,[8.2331896e-04 1.7718093e+00]
24,[0.0518941 1.7631018]
25,[0.03911513 1.7969592 ]
26,[0.1111753 1.7249771]
27,[0.20682383 1.6990414 ]
28,[0.47263953 1.8746617 ]
29,[0.551258 1.878711]
30,[0.7046304 1.7920897]
31,[0.6540473 1.7452164]
32,[0.47972423 1.7963502 ]
33,[0.27462015 1.6520488 ]
34,[0.43549716 1.5625637 ]
35,[0.6546122 1.4784377]
36,[0.90161   1.5062695]
37,[1.124502  1.5631639]
38,[1.2630188 1.4733177]
39,[1.4156818 1.354357 ]
40,[1.2652549 1.3016903]
41,[1.1946899 1.2679346]
42,[0.9657339 1.1005903]
43,[1.1017048 1.1212555]
44,[1.01882   1.1241114]
45,[0.6864392 1.0334641]
46,[0.570626  1.0491836]
47,[0.6680733 0.992619 ]
48,[0.741513   0.95622814]
49,[1.0082604 1.0546016]
50,[1.0642142 1.0396113]
51,[0.90779513 1.05053   ]
52,[0.97189415 1.0621269 ]
53,[1.0346439 1.0636942]
54,[1.173614  1.0013974]
55,[1.6075757 1.2623029]
56,[1.4294279 1.2501708]
57,[1.4279513 1.2504034]
58,[1.4750397 1.233752 ]
59,[1.5451558 1.2133813]
60,[1.5861015 1.2055945]
61,[1.5012587 1.1608679]
62,[1.5768588 1.1143014]
63,[1.2129928 0.9503259]
64,[1.3746324  0.99986756]
65,[1.0893439 0.865172 ]
66,[1.1120133 0.8557923]
67,[1.0677985 0.871473 ]
68,[1.1733541  0.90429497]
69,[1.150763   0.90892684]
70,[1.1929779  0.91333175]
71,[1.2647187 0.9133461]
72,[1.1454804 0.8715604]
73,[1.1980033  0.84668916]
74,[1.1864611 0.8509363]
75,[1.0613412 0.8536787]
76,[1.0937233 0.8542733]
77,[1.0552229  0.86731374]
78,[0.9846984 0.8527038]
79,[0.7200558  0.69986546]
80,[0.68295133 0.7015318 ]
81,[0.88384414 0.7275601 ]
82,[0.95750916 0.70602405]
83,[0.78846854 0.7261677 ]
84,[0.7912218 0.726787 ]
85,[0.65645385 0.69015336]
86,[0.5939496 0.6877357]
87,[0.77019346 0.75392723]
88,[1.0209367 0.8162137]
89,[0.92011184 0.8087448 ]
90,[0.9322206  0.80730724]
91,[0.9743303 0.8033002]
92,[0.8362489  0.83627564]
93,[0.8188071  0.82446253]
94,[0.8479347  0.81528467]
95,[0.823841   0.81710994]
96,[0.9354275  0.82335734]
97,[1.0538647  0.84130514]
98,[1.000812  0.8138077]
99,[0.9992074 0.8145871]
0,[3.4690747 4.2892313]
1,[2.786456  2.3746364]
2,[2.5735707 1.6695337]
3,[2.5863962 1.690787 ]
4,[2.3813448 1.5881715]
5,[2.3943222 1.486176 ]
6,[2.372859  1.4966134]
7,[2.2820559 1.4221754]
8,[1.0210047  0.16459477]
9,[1.020429   0.16289997]
10,[0.97422457 0.12353241]
11,[0.8154665 0.2955494]
12,[0.7859031  0.19251847]
13,[0.5820083  0.20036793]
14,[0.86037767 0.04628158]
15,[0.87141424 0.04298699]
16,[0.84966224 0.00702107]
17,[0.80413437 0.00420606]
18,[1.3851088  0.48595065]
19,[1.2864847  0.43200278]
20,[1.2455131  0.45834482]
21,[1.2498178 0.456424 ]
22,[1.0813285  0.43928456]
23,[0.8433994  0.45195264]
24,[0.6683129 0.422593 ]
25,[0.50023013 0.37311983]
26,[0.516029   0.37907743]
27,[0.6009479  0.42907196]
28,[0.55748963 0.43521112]
29,[0.6330086  0.37393373]
30,[0.67271674 0.35427254]
31,[0.7686269  0.43652433]
32,[0.71862006 0.4164555 ]
33,[0.92977655 0.367469  ]
34,[0.7754952  0.41635227]
35,[1.0241611 0.5602934]
36,[0.8463676 0.5142294]
37,[0.91926825 0.45986366]
38,[0.9459075  0.42339253]
39,[1.0399776 0.3814677]
40,[1.072999   0.36147267]
41,[0.73257595 0.17421561]
42,[0.6948276  0.17276406]
43,[0.6547492  0.15449804]
44,[0.91810334 0.26247317]
45,[0.92393327 0.26235795]
46,[0.99729824 0.23024273]
47,[1.0941966  0.24156749]
48,[0.97739255 0.22366601]
49,[0.84649295 0.19038796]
50,[1.3927131  0.36640877]
51,[1.146765   0.39451128]
52,[1.1479713  0.39425993]
53,[1.2119365 0.3479548]
54,[1.2292544  0.35655046]
55,[1.3932744  0.43238288]
56,[1.4053004 0.4331175]
57,[1.3488342  0.43682647]
58,[1.4543009  0.42178845]
59,[1.3406589  0.45739597]
60,[1.2278764 0.4577161]
61,[1.24149   0.4498582]
62,[1.2862079  0.43836606]
63,[1.2234908  0.41766286]
64,[1.243914   0.40972275]
65,[1.1925867  0.41831684]
66,[1.0589443  0.36925304]
67,[1.0549957  0.37061554]
68,[0.75800884 0.29266286]
69,[0.5687583 0.2591663]
70,[0.95264983 0.47875953]
71,[0.9873993  0.47115105]
72,[0.6482079  0.43236858]
73,[0.6982362 0.4340036]
74,[0.73014164 0.42004937]
75,[0.54907244 0.37588435]
76,[1.0673035 0.6608287]
77,[0.87186927 0.59688   ]
78,[0.8316925 0.5892551]
79,[1.1856512  0.73564994]
80,[1.0404549 0.7365197]
81,[0.9887814 0.7089579]
82,[0.8962962 0.7134415]
83,[0.74125206 0.69361365]
84,[0.800516   0.67723894]
85,[0.67757624 0.6683631 ]
86,[0.72138387 0.66276777]
87,[0.68416494 0.6724726 ]
88,[0.5630857 0.6679007]
89,[0.5739088 0.6636675]
90,[1.0073472  0.86667454]
91,[1.0078288 0.8667024]
92,[1.027902   0.85794175]
93,[1.0728489 0.83758  ]
94,[1.0707074 0.8382114]
95,[0.97538626 0.81048304]
96,[1.0053039  0.80776864]
97,[1.0201186 0.809468 ]
98,[1.0941551 0.8248785]
99,[1.1896926 0.8175505]
0,[1.1613833 1.8225513]
1,[1.1508663 2.2236748]
2,[1.1347494 1.5847659]
3,[1.2863051 1.0200295]
4,[1.2746426  0.98731995]
5,[1.1747464 0.8792074]
6,[1.0834098  0.88756037]
7,[1.2776767 0.7099252]
8,[1.2700427 0.6907904]
9,[1.4697148  0.39615142]
10,[1.4146507 0.2588694]
11,[1.4491198  0.26456845]
12,[1.5168477  0.22005832]
13,[1.1939026  0.30207646]
14,[0.47397292 1.2571454 ]
15,[0.4305277 1.2365077]
16,[0.30957112 1.1431952 ]
17,[0.09855063 0.9168552 ]
18,[0.23490483 0.83405244]
19,[0.2118364 0.822772 ]
20,[1.436796   0.12339455]
