Iteration,param_diffs
0,[0.07673112 1.4710717 ]
1,[0.458696   0.31962729]
2,[0.4576944  0.32155144]
3,[0.473085  0.2948048]
4,[0.43369344 0.3514136 ]
5,[0.49678355 0.27367687]
6,[0.4465251  0.33218694]
7,[0.44941247 0.3290342 ]
8,[0.4336097  0.34325826]
9,[0.4980877  0.28286088]
10,[0.49222064 0.28867412]
11,[0.40931317 0.23596668]
12,[0.41770345 0.22974324]
13,[0.42634344 0.22161901]
14,[0.39522552 0.2377801 ]
15,[0.38489923 0.24479151]
16,[0.3516209  0.26829815]
17,[0.27791315 0.3052385 ]
18,[0.270607   0.31114328]
19,[0.05122052 0.24262679]
20,[0.07344878 0.23146999]
21,[0.18983796 0.2697047 ]
22,[0.10160053 0.31080806]
23,[0.0173516  0.28136468]
24,[0.00919792 0.28917062]
25,[0.01151556 0.28825784]
26,[0.03155839 0.27625513]
27,[0.0753542  0.25548673]
28,[0.02813454 0.28087485]
29,[0.02285108 0.2844863 ]
30,[0.31403387 0.19621348]
31,[0.32753882 0.20193338]
32,[0.5639825  0.13713026]
33,[0.5684186  0.13860619]
34,[0.55077565 0.13078117]
35,[0.9002334  0.03345633]
36,[0.8596576 0.0455085]
37,[0.8951486  0.05820584]
38,[0.9031814 0.0610553]
39,[0.9468012  0.08195198]
40,[1.1586702 0.020432 ]
41,[1.1704162  0.02539945]
42,[1.1933055  0.03302145]
43,[1.2038357  0.03712618]
44,[1.220306   0.04534209]
45,[1.2243265  0.04705977]
46,[1.2479148  0.05771589]
47,[1.2413698  0.05540752]
48,[1.2636045  0.06347084]
49,[1.274581   0.06907475]
50,[1.2789752  0.06797206]
51,[1.2727442  0.06561136]
52,[1.264721   0.05961871]
53,[1.265448   0.05986238]
54,[1.2871442  0.06659079]
55,[1.4997762 0.0149914]
56,[1.5355947  0.02816379]
57,[1.5385034  0.02908731]
58,[1.5552766 0.0368855]
59,[1.5641092  0.04225862]
60,[1.3426869  0.09492362]
61,[1.3630003  0.10146713]
62,[1.394605   0.10995853]
63,[1.2521508  0.14455509]
64,[1.2475783  0.14288867]
65,[1.4441215  0.09435034]
66,[1.6137761  0.05126762]
67,[1.608007   0.04900134]
68,[1.5903834  0.04457211]
69,[1.5789585  0.03580713]
70,[1.6029325  0.04309082]
71,[1.5834725  0.03607607]
72,[1.5784612  0.03283477]
73,[1.5784518  0.03283167]
74,[1.5912373  0.03946197]
75,[1.5881951  0.03842509]
76,[1.6046208  0.04370284]
77,[1.6082342  0.04565084]
78,[1.6301926  0.05249989]
79,[1.6510429  0.06029546]
80,[1.7759069  0.03170478]
81,[1.7840314  0.03430223]
82,[1.8049926  0.04777241]
83,[1.7903268 0.0423975]
84,[1.8037046  0.04620445]
85,[1.9008788  0.02399552]
86,[1.9125748 0.021276 ]
87,[2.1261268  0.02931565]
88,[2.1480155  0.01690704]
89,[2.3840046 0.0734756]
90,[2.3971162 0.0691613]
91,[2.4177978  0.06093913]
92,[2.5258927  0.08706623]
93,[2.3069592  0.03324842]
94,[2.2805     0.04084527]
95,[2.2844636  0.03919905]
96,[2.3726873 0.0610553]
97,[2.3799076  0.05861324]
98,[2.3586094  0.05328828]
99,[2.3715448  0.04949158]
0,[3.4690747 4.2892313]
1,[2.6957378 2.120191 ]
2,[2.5098605 1.4815547]
3,[2.4279513 1.1222706]
4,[2.172157  0.6997488]
5,[2.1930473 0.5813509]
6,[2.1979878  0.54922235]
7,[2.2073426 0.4688455]
8,[1.3926187  0.19418252]
9,[1.3849353 0.1847713]
10,[1.3783461  0.17719173]
11,[1.3509622  0.14922273]
12,[1.2705116  0.05941653]
13,[1.2385916  0.02141881]
14,[1.4704485  0.09680676]
15,[1.4897652  0.07674634]
16,[1.4741398  0.08931047]
17,[1.4703023  0.09214485]
18,[1.4925802  0.06032562]
19,[0.8343703  0.19411206]
20,[0.7954155  0.21011615]
21,[0.795984  0.2106204]
22,[0.71998405 0.17216635]
23,[0.70660937 0.16290033]
24,[1.4578898  0.10610211]
25,[1.4534628  0.10836476]
26,[1.4524465  0.10912347]
27,[1.4307876  0.12065202]
28,[1.4431866  0.11552918]
29,[1.4473947  0.11368889]
30,[1.453068   0.11036986]
31,[1.4810249  0.09923673]
32,[1.014091   0.03701901]
33,[1.0232639  0.04111302]
34,[1.0063041  0.03434682]
35,[1.4637816 0.0979836]
36,[1.4553208  0.10205293]
37,[1.4637191  0.09904617]
38,[1.4925852  0.07794613]
39,[1.51294    0.06397277]
40,[1.7234777  0.12045676]
41,[1.7613412  0.10883331]
42,[1.7725143  0.10449249]
43,[1.7716953 0.1048122]
44,[1.7803315  0.10709321]
45,[1.7780625  0.10899931]
46,[1.8089592  0.11706293]
47,[1.6006924  0.06123966]
48,[1.5872878  0.06453878]
49,[1.5672073  0.07177335]
50,[1.6073879  0.05627286]
51,[1.6501529  0.06760836]
52,[1.6667932  0.06106097]
53,[1.6923516  0.05051261]
54,[1.7244439  0.04093122]
55,[1.7155385 0.0434261]
56,[1.8796858  0.08569926]
57,[1.843881   0.09572124]
58,[1.8569885  0.09088421]
59,[1.835483   0.09632844]
60,[1.8354726  0.09633577]
61,[1.842545   0.09437251]
62,[1.8874172  0.08280164]
63,[1.9004865  0.07793325]
64,[1.9170932  0.07371092]
65,[1.9306463  0.07699692]
66,[1.9281614  0.07798731]
67,[1.7567353  0.03610933]
68,[1.7608353  0.03464431]
69,[1.7593857  0.03512239]
70,[1.7687725  0.03025299]
71,[1.8492234  0.04958528]
72,[1.9062356 0.0635491]
73,[2.2030663  0.13758683]
74,[2.1962047  0.13949132]
75,[2.2399087  0.12849736]
76,[2.2477586  0.12512362]
77,[2.2665246  0.11993665]
78,[2.2498963 0.1246413]
79,[2.2594562  0.12184268]
80,[2.2566059  0.12246305]
81,[2.2431583  0.12579298]
82,[2.2313764  0.12953007]
83,[2.2374604  0.12725574]
84,[2.23312    0.12829876]
85,[2.223041  0.1310702]
86,[2.2476563  0.12402552]
87,[2.241052   0.12564027]
88,[2.0071244  0.07110304]
89,[2.029401   0.07637638]
90,[2.0221505  0.07855833]
91,[2.0336952  0.07495362]
92,[2.0343258  0.07477492]
93,[2.040141   0.07342339]
94,[2.0529397  0.06511223]
95,[2.08546    0.05469626]
96,[2.0753508  0.05805159]
97,[2.0773833  0.05739278]
