Iteration,param_diffs
0,[      nan 1.4710717]
1,[nan nan]
2,[     nan 0.699195]
3,[nan nan]
4,[nan nan]
5,[nan nan]
6,[       nan 0.25130117]
7,[nan nan]
8,[nan nan]
9,[nan nan]
10,[       nan 0.81125844]
11,[nan nan]
12,[nan nan]
13,[nan nan]
14,[nan nan]
15,[nan nan]
16,[       nan 0.15286398]
17,[nan nan]
18,[nan nan]
19,[nan nan]
20,[nan nan]
21,[      nan 0.8333533]
22,[      nan 0.8377501]
23,[nan nan]
24,[nan nan]
25,[nan nan]
26,[      nan 0.5189294]
27,[nan nan]
28,[      nan 0.5381875]
29,[nan nan]
30,[nan nan]
31,[1.0647932  0.31354082]
32,[nan nan]
33,[nan nan]
34,[nan nan]
35,[nan nan]
36,[nan nan]
37,[1.506743   0.24672598]
38,[nan nan]
39,[nan nan]
40,[nan nan]
41,[nan nan]
42,[nan nan]
43,[nan nan]
44,[       nan 0.12138194]
45,[1.5475202  0.12721688]
46,[nan nan]
47,[nan nan]
48,[nan nan]
49,[nan nan]
50,[nan nan]
51,[2.252018   0.01064289]
52,[nan nan]
53,[nan nan]
54,[       nan 0.06352937]
55,[nan nan]
56,[nan nan]
57,[nan nan]
58,[nan nan]
59,[nan nan]
60,[nan nan]
61,[nan nan]
62,[nan nan]
63,[nan nan]
64,[nan nan]
65,[nan nan]
66,[nan nan]
67,[nan nan]
68,[nan nan]
69,[nan nan]
70,[nan nan]
71,[nan nan]
72,[0.49855238 0.29401076]
73,[0.44403487 0.2940036 ]
74,[nan nan]
75,[nan nan]
76,[nan nan]
77,[nan nan]
78,[nan nan]
79,[nan nan]
80,[nan nan]
81,[nan nan]
82,[nan nan]
83,[nan nan]
84,[0.6522499  0.15442282]
85,[nan nan]
86,[nan nan]
87,[0.8644586  0.07928646]
88,[nan nan]
89,[nan nan]
90,[nan nan]
91,[nan nan]
92,[nan nan]
93,[nan nan]
94,[nan nan]
95,[nan nan]
96,[nan nan]
97,[0.7346632  0.05976212]
98,[nan nan]
99,[0.65422386 0.00477612]
0,[nan nan]
1,[nan nan]
2,[nan nan]
3,[nan nan]
4,[nan nan]
5,[nan nan]
6,[     nan 2.466579]
7,[nan nan]
8,[nan nan]
9,[nan nan]
10,[nan nan]
11,[nan nan]
12,[nan nan]
13,[nan nan]
14,[      nan 3.0921435]
15,[nan nan]
16,[     nan 3.117178]
17,[nan nan]
18,[nan nan]
19,[nan nan]
20,[nan nan]
21,[nan nan]
22,[      nan 2.2076182]
23,[nan nan]
24,[nan nan]
25,[nan nan]
26,[     nan 1.523137]
27,[nan nan]
28,[nan nan]
29,[nan nan]
30,[      nan 1.6370468]
31,[0.5006976 1.5236065]
32,[nan nan]
33,[nan nan]
34,[nan nan]
35,[      nan 1.0710506]
36,[nan nan]
