Iteration,param_diffs
0,[1.5875292 2.8710828]
1,[1.8367348 2.3779006]
2,[0.5909963 1.8240786]
3,[0.25831053 1.9719646 ]
4,[0.8784036 1.8909552]
5,[1.1481949 1.5638053]
6,[0.8508799 1.4542623]
7,[0.44507745 1.243733  ]
8,[0.11672574 1.3503044 ]
9,[0.03735226 1.3000638 ]
10,[0.13305438 1.3006234 ]
11,[0.54318726 1.0133864 ]
12,[0.76569486 1.0837982 ]
13,[0.94728625 0.9549482 ]
14,[1.1269156 0.7410445]
15,[1.2421837 0.6668021]
16,[1.4062817 0.3494115]
17,[1.7912915  0.05476975]
18,[1.919988   0.06988448]
19,[1.8652216  0.04132426]
20,[1.8894126  0.04350567]
21,[1.5736334  0.56196547]
22,[1.4034886  0.21652794]
23,[1.5562332  0.02057862]
24,[1.4887228  0.00253844]
25,[1.3710471  0.00361896]
26,[1.3601724  0.00727439]
27,[1.189006   0.03177786]
28,[1.1699177  0.00676024]
29,[1.0784149  0.09839559]
30,[1.1506426  0.09242809]
31,[1.1639097  0.10201955]
32,[1.0861815  0.38400412]
33,[1.0318966  0.40830827]
34,[0.9715557  0.46213305]
35,[1.0768989  0.69915664]
36,[1.1458479 0.6483141]
37,[1.097842  0.6563078]
38,[1.0721567 0.6807251]
39,[0.94090486 0.76008654]
40,[0.95025605 0.76073515]
41,[0.96857095 0.7709253 ]
42,[0.9737689  0.76142573]
43,[1.1401329 0.8937788]
44,[1.1439464 0.8935462]
45,[1.0782697 0.9533417]
46,[0.9150269  0.65443516]
47,[0.98824173 0.52943635]
48,[0.9612481 0.5738437]
49,[1.0965856 0.5995816]
50,[0.5304526 0.7921278]
51,[0.35745224 0.8231529 ]
52,[0.46727437 0.6713695 ]
53,[0.45184192 0.6870505 ]
54,[0.3784421  0.71220744]
55,[0.2783384  0.80577415]
56,[0.26781315 0.78425264]
57,[0.14227325 1.0132519 ]
58,[0.13352111 1.0057316 ]
59,[0.12302767 0.9973658 ]
60,[0.1889808 0.8850115]
61,[0.18058363 0.8899462 ]
62,[0.17510627 0.9045025 ]
63,[0.13544258 0.94339615]
64,[0.10847613 0.9341924 ]
65,[0.00333942 0.80528516]
66,[0.01122694 0.7978658 ]
67,[0.02437412 0.78159606]
68,[0.02918011 0.79109776]
