Iteration,labels,realization
0,[1.        0.4232736],0
1,[1.        0.4209203],0
2,[1.        0.4180675],0
3,[1.         0.41085324],0
4,[1.        0.4091784],0
5,[1.        0.4084579],0
6,[1.         0.40751454],0
7,[1.         0.40569308],0
8,[1.        0.4050887],0
9,[1.       0.401019],0
10,[1.        1.5697823],0
11,[1.        1.5680708],0
12,[1.        1.5364728],0
13,[1.        1.5281146],0
14,[1.        1.5216464],0
15,[1.        1.5213355],0
16,[1.        1.5170066],0
17,[1.        1.4783012],0
18,[1.       1.471607],0
19,[1.        1.4643153],0
20,[1.        2.9915006],0
21,[1.      2.93306],0
22,[1.        2.8803968],0
23,[1.        2.7573946],0
24,[1.        2.5925612],0
25,[1.        2.5913744],0
26,[1.       2.555231],0
27,[1.        2.5242808],0
28,[1.        2.4780571],0
29,[1.        2.4112444],0
30,[1.        2.9515023],0
31,[1.        2.7652795],0
32,[1.        2.7557783],0
33,[1.        2.6475258],0
34,[1.        2.5625803],0
35,[1.        2.4646053],0
36,[1.        2.3979352],0
37,[1.        2.3301816],0
38,[1.        2.3047972],0
39,[1.        2.2991745],0
40,[1.        3.3109617],0
41,[1.       2.761497],0
42,[1.        2.6424108],0
43,[1.        2.5902605],0
44,[1.       2.582224],0
45,[1.        2.5640657],0
46,[1.        2.5610294],0
47,[1.        2.5424225],0
48,[1.       2.491559],0
49,[1.        2.4853995],0
50,[1.        3.0310206],0
51,[1.       2.966888],0
52,[1.        2.8746355],0
53,[1.        2.5365334],0
54,[1.       2.489076],0
55,[1.        2.4418926],0
56,[1.        2.3502107],0
57,[1.        2.3442883],0
58,[1.        2.3155673],0
59,[1.        2.3026364],0
60,[1.        2.9103444],0
61,[1.       2.726377],0
62,[1.       2.682378],0
63,[1.        2.4205806],0
64,[ 1.        -1.5060637],0
65,[ 1.        -1.5069282],0
66,[ 1.        -1.5134867],0
67,[ 1.        -1.5144954],0
68,[ 1.        -1.5192462],0
69,[ 1.        -1.5223798],0
70,[1.        3.7506793],0
71,[1.        3.4502852],0
72,[1.        3.0582232],0
73,[1.        2.9019248],0
74,[1.        2.8814194],0
75,[1.       2.654864],0
76,[1.        2.6538615],0
77,[1.        2.6374795],0
78,[1.        2.6207378],0
79,[1.        2.5445483],0
80,[1.        3.1522396],0
81,[1.       3.105526],0
82,[1.       3.055732],0
83,[1.       2.874727],0
84,[1.        2.7312381],0
85,[1.        2.5749586],0
86,[1.        2.5563986],0
87,[1.        2.5016127],0
88,[1.        2.4455383],0
89,[1.        2.3804908],0
90,[1.        3.3361645],0
91,[1.       3.065425],0
92,[1.        2.9656224],0
93,[1.       2.914643],0
94,[1.        2.6126072],0
95,[1.        2.5579705],0
96,[1.       2.502652],0
97,[1.        2.4893937],0
98,[1.        2.4557579],0
99,[1.        2.4191852],0
100,[1.       4.032209],0
101,[1.        3.1782894],0
102,[1.       2.823599],0
103,[1.       2.595993],0
104,[1.       2.588246],0
105,[1.        2.5645218],0
106,[ 1.        -1.2693315],0
107,[ 1.        -1.2701613],0
108,[ 1.       -1.249387],0
109,[ 1.        -1.2478689],0
110,[1.       3.357924],0
111,[1.        3.1017592],0
112,[1.        2.9572086],0
113,[1.        2.7590165],0
114,[1.        2.6427052],0
115,[ 1.        -1.3679359],0
116,[ 1.        -1.3758175],0
117,[ 1.        -1.3596712],0
118,[ 1.        -1.3481543],0
119,[ 1.       -1.389115],0
120,[1.        3.1393976],0
121,[1.        2.6806471],0
122,[1.        2.6304777],0
123,[1.       2.588902],0
124,[1.       2.575864],0
125,[1.        2.5547938],0
126,[1.       2.550691],0
127,[1.        2.4720614],0
128,[ 1.        -1.5160815],0
129,[ 1.        -1.5170525],0
130,[1.        3.3061168],0
131,[1.        3.1847453],0
132,[1.        3.0640178],0
133,[1.        2.9424732],0
134,[1.        2.5267024],0
135,[ 1.        -1.5339866],0
136,[ 1.        -1.5168523],0
137,[ 1.        -1.5156326],0
138,[ 1.        -1.5466998],0
139,[ 1.        -1.5002873],0
140,[1.        2.7936897],0
141,[1.        2.5581276],0
142,[1.       2.498545],0
143,[1.       2.495662],0
144,[1.       2.416728],0
145,[1.        2.4105995],0
146,[ 1.       -1.679341],0
147,[ 1.        -1.6960368],0
148,[ 1.        -1.6741577],0
149,[ 1.        -1.6726718],0
150,[1.        3.0480826],0
151,[1.        3.0429583],0
152,[1.       3.031669],0
153,[1.        2.9189534],0
154,[1.        2.7892036],0
155,[1.        2.6975532],0
156,[1.       2.563434],0
157,[1.        2.5464475],0
158,[1.        2.5245268],0
159,[1.        2.5112894],0
160,[1.        3.2932556],0
161,[1.        3.0087192],0
162,[1.        2.8834186],0
163,[1.        2.8817604],0
164,[1.        2.7088726],0
165,[1.        2.6375089],0
166,[1.        2.6214793],0
167,[1.        2.6074266],0
168,[1.        2.5608232],0
169,[1.       2.535387],0
170,[1.       3.105526],0
171,[1.        2.9263544],0
172,[1.        2.8978403],0
173,[1.       2.479056],0
174,[ 1.        -1.5850892],0
175,[ 1.       -1.576598],0
176,[ 1.       -1.568792],0
177,[ 1.        -1.5976695],0
178,[ 1.        -1.6024643],0
179,[ 1.        -1.6049142],0
180,[1.        4.1261044],0
181,[1.       2.622446],0
182,[1.       2.597831],0
183,[1.        2.4763606],0
184,[1.        2.4385135],0
185,[1.        2.4365432],0
186,[1.        2.4318085],0
187,[1.        2.4097977],0
188,[1.       2.399543],0
189,[ 1.        -1.7554772],0
190,[1.        3.9139936],0
191,[1.        3.4122097],0
192,[1.       3.335073],0
193,[1.        2.7028403],0
194,[1.        2.5941823],0
195,[1.        2.4842277],0
196,[1.        2.4797735],0
197,[1.        2.4719532],0
198,[1.        2.4712625],0
199,[1.        2.4611697],0
200,[1.       3.742336],0
201,[1.        2.9986298],0
202,[1.       2.628903],0
203,[1.        2.4931598],0
204,[1.        2.4915388],0
205,[ 1.       -1.611532],0
206,[ 1.        -1.6077684],0
207,[ 1.        -1.6131158],0
208,[ 1.        -1.6045352],0
209,[ 1.        -1.6264217],0
210,[1.        2.9416127],0
211,[1.        2.7942965],0
212,[1.        2.7612264],0
213,[1.       2.631267],0
214,[1.        2.5782218],0
215,[1.        2.5605145],0
216,[1.        2.5433624],0
217,[1.       2.528342],0
218,[1.       2.521629],0
219,[1.        2.4825575],0
220,[1.        3.1802526],0
221,[1.        3.0025375],0
222,[1.        2.6871102],0
223,[1.        2.6248913],0
224,[1.        2.5797338],0
225,[1.        2.5769951],0
