Iteration,labels,realization
0,[1.         0.02720052],0
1,[1.        0.2967389],0
2,[1.         0.07117112],0
3,[1.        0.0784991],0
4,[ 1.        -1.1623423],0
5,[ 1.        -1.6450189],0
6,[ 1.        -0.6590697],0
7,[ 1.        -0.8214895],0
8,[1.         0.66399276],0
9,[ 1.        -0.8678265],0
10,[1.       2.027514],0
11,[ 1.      -2.96629],0
12,[1.         0.25329357],0
13,[ 1.        -2.5193987],0
14,[ 1.        -0.4565261],0
15,[1.        1.2722075],0
16,[1.        1.4312438],0
17,[ 1.       -2.106977],0
18,[1.        1.9649538],0
19,[ 1.         -0.17955486],0
20,[1.         0.41449055],0
21,[1.         0.79279965],0
22,[1.         0.47850108],0
23,[ 1.         -0.72456163],0
24,[1.        1.4689835],0
25,[1.        1.6847903],0
26,[ 1.        -0.7533896],0
27,[1.         0.52721876],0
28,[1.        2.9806666],0
29,[1.        1.3132507],0
30,[1.         0.04547781],0
31,[ 1.        -0.5751486],0
32,[ 1.        -2.1666498],0
33,[ 1.        -1.0012966],0
34,[1.         0.17916663],0
35,[1.        1.7111199],0
36,[1.         0.90141046],0
37,[ 1.        -1.3496951],0
38,[ 1.        -1.1775973],0
39,[ 1.        -1.2432158],0
40,[ 1.        -0.8850622],0
41,[ 1.        -0.6183433],0
42,[ 1.         -0.37169302],0
43,[1.       0.287396],0
44,[1.        0.3413635],0
45,[1.        1.2586125],0
46,[ 1.        -0.6331734],0
47,[ 1.         -0.67971134],0
48,[1.         0.41610977],0
49,[1.         0.16701634],0
50,[ 1.       -0.483463],0
51,[1.         0.82994366],0
52,[1.       0.612996],0
53,[1.         0.19159208],0
54,[1.        0.4466096],0
55,[ 1.         -0.02336686],0
56,[ 1.        -0.7355278],0
57,[1.        0.8546112],0
58,[1.        1.1508118],0
59,[1.         0.18812731],0
60,[1.        1.2109723],0
61,[ 1.        -1.1122053],0
62,[1.        2.0676613],0
63,[1.         0.08163263],0
64,[1.         0.23080973],0
65,[ 1.        -0.5071176],0
66,[ 1.         -0.61111283],0
67,[1.        0.5222804],0
68,[1.        0.7114327],0
69,[ 1.        -0.7583263],0
70,[1.        0.9158046],0
71,[1.         0.07084579],0
72,[ 1.         -0.16357799],0
73,[1.         0.61482114],0
74,[1.      1.01974],0
75,[ 1.       -1.283927],0
76,[1.         0.03049272],0
77,[1.         0.85539967],0
78,[ 1.        -1.1495417],0
79,[1.        1.6676545],0
80,[ 1.         -0.31834948],0
81,[1.        2.6353168],0
82,[1.        0.7544698],0
83,[ 1.        -0.9134659],0
84,[ 1.         -0.18657836],0
85,[1.         0.64570355],0
86,[ 1.        -1.4070513],0
87,[1.         0.85337836],0
88,[ 1.         -0.05686216],0
89,[1.        2.6711586],0
