Iteration,labels,realization
0,[1.        2.9454544],0
1,[1.        2.9102614],0
2,[1.        2.6907294],0
3,[1.        2.6892924],0
4,[1.        2.5242734],0
5,[1.        2.5221326],0
6,[1.        2.4781468],0
7,[1.        2.4684296],0
8,[1.       2.378519],0
9,[1.     2.3383],0
10,[1.       3.167061],0
11,[1.        2.7649376],0
12,[1.        2.4343107],0
13,[1.        2.3959272],0
14,[1.        2.3633273],0
15,[1.       2.293474],0
16,[1.       2.288298],0
17,[1.        2.2791882],0
18,[ 1.       -2.569328],0
19,[ 1.        -2.5555406],0
20,[1.        3.5027084],0
21,[1.        3.4897616],0
22,[1.        3.3822289],0
23,[1.       2.731812],0
24,[1.       2.610887],0
25,[1.        2.5632584],0
26,[1.        2.4975836],0
27,[1.        2.4848757],0
28,[1.        2.3372204],0
29,[1.        2.3220682],0
30,[1.       3.387181],0
31,[1.       3.329226],0
32,[1.        3.0603156],0
33,[1.        2.8532128],0
34,[1.        2.7548735],0
35,[1.        2.6432152],0
36,[ 1.        -1.8342566],0
37,[ 1.        -1.8341506],0
38,[ 1.       -1.845764],0
39,[ 1.        -1.8244215],0
40,[1.      2.75682],0
41,[1.        2.6706605],0
42,[1.        2.5404074],0
43,[1.       2.516535],0
44,[ 1.        -2.0172057],0
45,[ 1.        -2.0118768],0
46,[ 1.        -2.0539677],0
47,[ 1.        -2.1173825],0
48,[ 1.       -1.936029],0
49,[ 1.        -1.9298096],0
50,[1.        2.9422457],0
51,[1.        2.7177424],0
52,[1.        2.6745086],0
53,[1.        2.5834744],0
54,[1.        2.4711359],0
55,[1.        2.4558005],0
56,[1.        2.4381688],0
57,[1.        2.4129875],0
58,[1.        2.3202868],0
59,[1.        2.3049715],0
60,[1.        3.0847178],0
61,[1.       2.841592],0
62,[1.      2.62377],0
63,[1.       2.548679],0
64,[1.        2.5481255],0
65,[1.      2.52578],0
66,[1.        2.5106947],0
67,[1.        2.3658178],0
68,[1.        2.3503814],0
69,[1.        2.3361986],0
70,[1.       3.168185],0
71,[1.        2.4530792],0
72,[ 1.        -1.9558743],0
73,[ 1.        -1.9587514],0
74,[ 1.        -1.9396725],0
75,[ 1.        -1.9685184],0
76,[ 1.        -1.9368804],0
77,[ 1.        -1.9273304],0
78,[ 1.        -1.9145608],0
79,[ 1.        -1.9998162],0
80,[1.        3.1110644],0
81,[1.        2.9965477],0
82,[1.        2.9593203],0
83,[1.        2.9497378],0
84,[1.        2.8613245],0
85,[1.       2.851588],0
86,[1.        2.8446715],0
87,[1.        2.7518573],0
88,[1.        2.5528228],0
89,[1.       2.548041],0
90,[1.        3.0837076],0
91,[1.        3.0476153],0
92,[1.        2.8826172],0
93,[1.        2.8411348],0
94,[1.        2.7287312],0
95,[1.        2.7010584],0
96,[1.       2.629946],0
97,[1.        2.6121807],0
98,[1.        2.3988633],0
99,[1.        2.3895137],0
100,[1.        2.9136198],0
101,[1.       2.807429],0
102,[1.        2.6952415],0
103,[1.        2.5684657],0
104,[1.        2.5078473],0
105,[1.        2.5036938],0
106,[1.        2.4968004],0
107,[1.        2.4728422],0
108,[1.        2.4510436],0
109,[1.       2.370977],0
110,[1.        3.1301658],0
111,[1.        2.8540025],0
112,[1.        2.7780547],0
113,[1.        2.7708588],0
114,[1.       2.751554],0
115,[1.       2.603315],0
116,[1.        2.5813532],0
117,[ 1.       -1.818174],0
118,[ 1.        -1.8007433],0
119,[ 1.        -1.7990934],0
120,[1.        3.7377746],0
121,[1.        3.0778966],0
122,[1.        3.0650961],0
123,[1.        3.0190697],0
124,[1.        2.8751569],0
125,[1.        2.5978477],0
126,[1.       2.557726],0
127,[1.        2.5265718],0
128,[1.        2.5233347],0
