Iteration,labels,realization
0,[ 1.         -0.19702558],0
1,[ 1.         -0.00450336],0
2,[ 1.         -0.28364348],0
3,[ 1.        -0.7330851],0
4,[1.        1.5010849],0
5,[1.         0.22385003],0
6,[ 1.       -1.501792],0
7,[1.         0.46623588],0
8,[ 1.         -0.20763142],0
9,[ 1.         -0.82349193],0
10,[1.        1.1544307],0
11,[1.         0.23823436],0
12,[1.        2.4343107],0
13,[ 1.         -0.46278802],0
14,[ 1.        -2.9178221],0
15,[1.        0.8916919],0
16,[1.         0.46376753],0
17,[ 1.        -1.4166104],0
18,[1.         0.39062473],0
19,[ 1.         -0.73772275],0
20,[1.        1.2990377],0
21,[ 1.         -0.23353644],0
22,[ 1.         -0.15854022],0
23,[ 1.        -0.7833109],0
24,[1.        0.7721899],0
25,[ 1.         -0.01072185],0
26,[ 1.         -0.42942497],0
27,[ 1.        -1.6488278],0
28,[1.         0.29887983],0
29,[ 1.         -0.79915977],0
30,[ 1.         -0.20387496],0
31,[ 1.        -1.6174767],0
32,[1.        1.0011628],0
33,[ 1.        -0.0301446],0
34,[ 1.        -0.6890253],0
35,[1.        0.8607467],0
36,[ 1.        -1.8244215],0
37,[ 1.        -1.2934818],0
38,[1.         0.28712043],0
39,[ 1.        -0.1257003],0
40,[1.        0.3244646],0
41,[1.        2.6706605],0
42,[1.       1.172937],0
43,[1.         0.23457927],0
44,[ 1.         -0.17222206],0
45,[ 1.        -1.2113409],0
46,[1.         0.17273931],0
47,[1.       1.522243],0
48,[1.         0.58343214],0
49,[ 1.        -1.2444918],0
50,[ 1.         -0.40360048],0
51,[1.         0.02878665],0
52,[1.        1.1413249],0
53,[1.        1.0493873],0
54,[1.         0.56905305],0
55,[ 1.         -0.18130063],0
56,[1.        1.0355096],0
57,[ 1.        -0.7907202],0
58,[1.        0.8924611],0
59,[1.        0.8972232],0
60,[ 1.         -0.14860652],0
61,[1.        0.6772241],0
62,[1.        0.3695587],0
63,[1.        0.6170246],0
64,[1.        1.6900101],0
65,[ 1.         -0.04080973],0
66,[1.         0.83532226],0
67,[ 1.        -1.4374138],0
68,[1.        1.1489186],0
69,[1.         0.00268581],0
70,[1.        0.3393896],0
71,[1.        0.5166401],0
72,[1.         0.43868998],0
73,[ 1.        -0.9746691],0
74,[1.        1.1561925],0
75,[ 1.        -0.1682641],0
76,[ 1.        -0.4087852],0
77,[ 1.        -0.5200933],0
78,[1.         0.86259574],0
79,[ 1.        -2.3634372],0
80,[1.        0.9171318],0
81,[ 1.       -0.775524],0
82,[ 1.        -1.4359217],0
83,[1.        0.8615424],0
84,[1.         0.14019836],0
85,[ 1.         -0.62103957],0
86,[1.        0.7069566],0
87,[1.        1.0720304],0
88,[ 1.         -0.10379385],0
89,[1.        0.6720385],0
90,[ 1.        -1.8908929],0
91,[1.        1.1650949],0
92,[ 1.        -1.0243407],0
93,[1.         0.02151361],0
94,[ 1.        -2.4897485],0
95,[1.        0.8302017],0
96,[ 1.        -1.8221661],0
97,[ 1.         -0.09751512],0
98,[1.         0.90548396],0
99,[1.         0.44643888],0
100,[ 1.       -1.500165],0
101,[ 1.         -0.86267054],0
102,[1.         0.59011334],0
103,[1.        1.6907396],0
104,[ 1.        -0.9194984],0
105,[1.        1.3635314],0
106,[1.         0.42756957],0
107,[1.         0.64589894],0
108,[1.       2.370977],0
109,[1.        2.4510436],0
110,[1.         0.36621144],0
111,[ 1.        -1.6324694],0
112,[1.         0.85636467],0
113,[ 1.        -0.5458045],0
114,[1.         0.58944273],0
115,[ 1.        -1.1645863],0
116,[ 1.         -0.61296797],0
117,[1.        0.6591467],0
118,[ 1.         -0.18820868],0
119,[ 1.         -0.08890181],0
120,[ 1.         -0.60401434],0
121,[1.         0.23635803],0
122,[ 1.       -1.609537],0
123,[1.        1.7873429],0
124,[1.        1.0106996],0
125,[ 1.        -1.3911865],0
126,[ 1.        -0.4053805],0
127,[1.        0.2573306],0
128,[ 1.        -0.4176099],0
129,[1.        1.8611947],0
130,[1.        1.0770273],0
131,[ 1.         -0.40779555],0
132,[ 1.        -2.1487446],0
133,[1.        0.9866288],0
134,[ 1.         -0.61321324],0
135,[ 1.        -1.1979957],0
136,[1.        0.4627057],0
137,[ 1.         -0.38333765],0
138,[1.        1.3821231],0
139,[1.        0.2060802],0
140,[ 1.        -0.8166272],0
141,[ 1.         -0.86302215],0
142,[ 1.         -0.48148507],0
143,[ 1.         -0.74831814],0
144,[1.        0.5227599],0
145,[ 1.         -0.92416084],0
146,[1.         0.37433633],0
147,[1.        1.0637333],0
148,[1.         0.69384706],0
149,[1.         0.55630225],0
150,[ 1.       -1.097774],0
151,[ 1.         -0.15511943],0
152,[ 1.         -0.06618398],0
153,[ 1.        -0.7025146],0
154,[1.        0.5163653],0
155,[1.        1.5358912],0
156,[ 1.        -1.1782222],0
157,[1.        0.7736724],0
158,[ 1.        -1.8232374],0
159,[ 1.        -1.0079199],0
160,[ 1.         -0.09019578],0
161,[ 1.        -0.5589785],0
162,[1.        0.7603406],0
163,[ 1.         -0.34780598],0
164,[ 1.        -0.7316402],0
165,[ 1.         -0.32251418],0
166,[1.        2.1873798],0
167,[1.         0.42914134],0
168,[1.         0.42543122],0
169,[1.        0.2071889],0
170,[1.        0.4149654],0
171,[ 1.       -1.897254],0
172,[1.        1.2497683],0
173,[ 1.         -0.11154295],0
174,[ 1.       -0.356458],0
175,[1.        0.7749342],0
176,[ 1.        -0.8402344],0
177,[ 1.         -0.24475928],0
178,[1.        2.4323778],0
179,[ 1.       -1.204732],0
180,[ 1.         -0.54169875],0
181,[ 1.        -0.8622623],0
182,[1.        1.0093178],0
183,[1.        2.0413234],0
184,[ 1.         -0.38088566],0
185,[ 1.         -0.94816285],0
186,[1.        1.3685085],0
187,[1.         0.26667455],0
188,[ 1.         -0.52210075],0
189,[1.       1.108665],0
190,[1.        0.9658323],0
191,[ 1.        -1.6015284],0
192,[ 1.         -0.18445764],0
193,[ 1.         -0.98549455],0
194,[ 1.       -1.098212],0
195,[ 1.        -0.7586117],0
196,[ 1.        -1.8005152],0
197,[ 1.        -1.3055414],0
198,[ 1.        -0.2648211],0
199,[1.        0.7985519],0
200,[1.         0.47915858],0
201,[1.        1.1831348],0
202,[ 1.        -1.4315839],0
203,[ 1.        -0.3341217],0
204,[ 1.        -0.6475374],0
205,[1.         0.06332836],0
206,[1.         0.30410704],0
207,[ 1.        -0.6383735],0
208,[1.         0.26674515],0
209,[1.        1.5314946],0
210,[1.         0.22825724],0
211,[ 1.       -0.264792],0
212,[1.        2.1125026],0
213,[1.        1.3165389],0
214,[ 1.         -0.73241365],0
215,[ 1.         -0.29708192],0
216,[ 1.        -1.1781049],0
217,[ 1.         -0.34448233],0
218,[ 1.        -1.5616424],0
219,[1.         0.39209288],0
220,[ 1.        -0.6021786],0
221,[ 1.       -1.515956],0
222,[ 1.         -0.00367295],0
223,[1.        0.7458093],0
224,[1.        1.2050489],0
225,[1.        1.1806108],0
226,[1.        3.0708146],0
227,[1.        1.0152547],0
228,[ 1.        -0.3297743],0
229,[ 1.         -0.30958602],0
230,[1.        1.5694301],0
231,[ 1.        -1.6733017],0
232,[1.        1.0843774],0
233,[ 1.        -2.0340674],0
234,[ 1.        -1.3831829],0
235,[ 1.        -1.9763674],0
236,[ 1.         -0.25567803],0
237,[1.        0.9818199],0
238,[1.         0.21103138],0
239,[1.         0.06985876],0
240,[ 1.        -0.9324742],0
241,[1.         0.21597244],0
242,[ 1.        -1.4651814],0
243,[ 1.         -0.62434053],0
244,[1.         0.19281936],0
245,[ 1.         -0.71869713],0
246,[1.         0.03689486],0
247,[ 1.         -0.14828746],0
248,[1.         0.03546141],0
249,[ 1.        -2.1267612],0
250,[ 1.         -0.16183026],0
251,[1.         0.77270293],0
252,[ 1.       -2.590376],0
253,[1.        0.3604699],0
254,[ 1.        -1.3264542],0
255,[ 1.        -2.6838372],0
256,[1.        0.3760942],0
257,[1.         0.05886053],0
258,[1.        0.0056931],0
259,[ 1.         -0.11240143],0
260,[1.         0.37969342],0
261,[1.         0.92668444],0
262,[1.        0.7290959],0
263,[ 1.        -0.7384019],0
264,[ 1.        -0.1686372],0
265,[ 1.        -0.7451337],0
266,[ 1.        -0.5369199],0
267,[ 1.        -1.0853637],0
268,[ 1.         -0.21050145],0
269,[ 1.       -1.502781],0
270,[1.         0.05622333],0
271,[ 1.        -2.4571898],0
272,[1.        1.3766686],0
273,[ 1.        -1.1034458],0
274,[1.         0.45525947],0
275,[ 1.         -0.38465455],0
276,[ 1.         -0.17417064],0
277,[1.         0.19847374],0
278,[ 1.       -1.179133],0
279,[1.         0.01901053],0
280,[1.        1.4661415],0
281,[ 1.         -0.18897247],0
282,[ 1.         -0.40156323],0
283,[1.         0.27816603],0
284,[ 1.         -0.42446166],0
285,[ 1.        -2.4427924],0
286,[ 1.         -0.27372238],0
287,[ 1.         -0.47756496],0
288,[1.        1.9577444],0
289,[ 1.         -0.07047059],0
290,[1.       0.998466],0
291,[ 1.         -0.90072685],0
292,[ 1.         -0.77575856],0
293,[1.         0.09280771],0
294,[ 1.       -0.867358],0
295,[1.         0.04261927],0
